txn_id,date,stmt,desc_full,withdrawal,deposit,balance,category_draft,scope,confidence,gst_candidate,flags,needs_human_review
ANZ-BE-537c99451cbc,2024-03-21,4,VISA DEBIT PURCHASE CARD 5746 | 7-ELEVEN 2025 NORTH ROCKS | EFFECTIVE DATE 19 MAR 2024,107.64,0.0,2669.57,Fuel,business,0.7,9.79,,False
ANZ-BE-314dcf290c16,2024-03-21,4,EFTPOS | ASTEC PAINTS AUST ALEXANDRIA NSWAU,384.29,0.0,2285.28,Materials-Tools,business,0.8,34.94,,False
ANZ-BE-398c9c00bcf4,2024-03-25,4,ANZ MOBILE BANKING PAYMENT 581694 | TO ARMIN MOHEBIAFZAP | EFFECTIVE DATE 23 MAR 2024,500.0,0.0,1785.28,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-b1a65481cf1e,2024-03-26,4,ANZ MOBILE BANKING PAYMENT 088730 | TO ARMIN MOHEBIAFZAP,100.0,0.0,1685.28,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-0047cdc2e66a,2024-03-26,4,ANZ MOBILE BANKING PAYMENT 583363 | TO ARMIN MOHEBIAFZAP,150.0,0.0,1535.28,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-efb9333410e8,2024-03-26,4,ANZ MOBILE BANKING PAYMENT 746999 | TO ARMIN MOHEBIAFZAP,400.0,0.0,1135.28,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-7bead8d82347,2024-03-27,4,ANZ MOBILE BANKING PAYMENT 062502 | TO ARMIN MOHEBIAFZAP,200.0,0.0,935.28,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-6ef45a0cfab1,2024-03-28,4,VISA DEBIT PURCHASE CARD 5746 | COLES EXPRESS 1639 BAULKHAM H | EFFECTIVE DATE 26 MAR 2024,110.41,0.0,824.87,Fuel,business,0.7,10.04,,False
ANZ-BE-af3fe96aef35,2024-04-02,4,PAYMENT FROM SCHONBERGER | INV 22 40% | EFFECTIVE DATE 01 APR 2024,0.0,9460.0,10284.87,Income-Candidate,business,0.55,0.0,,True
ANZ-BE-64a8a265a197,2024-04-02,4,ANZ MOBILE BANKING PAYMENT 139859 | TO ARMIN MOHEBIAFZAP | EFFECTIVE DATE 29 MAR 2024,150.0,0.0,10134.87,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-ba0dcd18960a,2024-04-02,4,ANZ MOBILE BANKING PAYMENT 206793 | TO ARMIN MOHEBIAFZAP | EFFECTIVE DATE 30 MAR 2024,670.0,0.0,9464.87,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-840be53a709a,2024-04-02,4,ANZ MOBILE BANKING PAYMENT 908897 | TO ARMIN MOHEBIAFZAP,1173.0,0.0,8291.87,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-b1e61b4e660a,2024-04-03,4,ANZ MOBILE BANKING PAYMENT 405863 | TO ARMIN MOHEBIAFZAP,50.0,0.0,8241.87,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-bdd663851062,2024-04-03,4,ANZ MOBILE BANKING PAYMENT 407124 | TO ARMIN MOHEBIAFZAP,500.0,0.0,7741.87,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-57b08f0da702,2024-04-04,4,VISA DEBIT PURCHASE CARD 5746 | GOOGLE ADS7165786750 SYDNEY | EFFECTIVE DATE 02 APR 2024,97.29,0.0,7644.58,Software-Subscriptions,business,0.6,8.84,,True
ANZ-BE-e5d7646a95fc,2024-04-04,4,ANZ MOBILE BANKING PAYMENT 160491 | TO ARMIN MOHEBIAFZAP,600.0,0.0,7044.58,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-433634a4821b,2024-04-05,4,ANZ MOBILE BANKING PAYMENT 380416 | TO ARMIN MOHEBIAFZAP,20.0,0.0,7024.58,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-3a8c1122881c,2024-04-05,4,ANZ MOBILE BANKING PAYMENT 600546 | TO ARMIN MOHEBIAFZAP,35.0,0.0,6989.58,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
ANZ-BE-889748af6844,2024-04-05,4,ANZ MOBILE BANKING PAYMENT 619003 | TO ARMIN MOHEBIAFZAP,1000.0,0.0,5989.58,Associate-Payment,[OPEN],0.7,0.0,ASSOCIATE:Armin;DIV7A-CANDIDATE,True
