rank,symbol,name,price,percent_change_24h,percent_change_7d,percent_change_30d,market_cap,volume_24h,galaxy_score,galaxy_score_previous,alt_rank,alt_rank_previous,social_volume_24h,social_dominance,market_dominance,sentiment,signal
"1","ADCO","Advertise Coin","0.354767","-0.13541435382806974","0","","15964526","5087.5","100","100","5181","2393","1","0.00028212007594672446","0.0007316739698917447","","hold"
"2","SN77","Liquidity","2.01","-6.769030694449146","69.30114637773221","","9349256","826798","100","100","5761","","0","0","0.0004284879646946118","","sell"
"3","GVNR","GVNR","0.55681","0.0022500000000113918","-9.477383525049355","","8865937","14.8","100","100","4749","2295","1","0.00028212007594672446","0.0004063368572045362","","hold"
"4","NIL","Nillion","0.03970761","-0.11619333347306603","-0.3294262564504902","","18591368","16350729","89.7","65","698","83","345","0.09733142620161993","0.0008520653873643568","48","hold"
"5","TAO","Bittensor","261.39064688138905","-2.477526947889","23.626639635912","-9.17167258949","2504068882","626657425.24","87","92","1143","1","3365","0.9493340555607278","0.11476457364129211","80","hold"
"6","JELLYJELLY","jelly-my-jelly","0.07092475397718966","21.724681958107","20.547305773046","13.235403450435","71990429","10788325.47","86.8","60","53","1730","89","0.025108686759258477","0.0032994103915543614","75","hold"
"7","SPK","Spark","0.019213369601099293","-1.707391858588","0.341209798486","-42.237197502963","53377468","15417337.92","83.3","33","1487","1198","31","0.008745722354348458","0.002446355370295965","80","hold"
"8","BLUAI","Bluwhale AI","0.0142215611552125","10.416","1.068319636067837","","17464077.1","695612.54","83.2","42","21","274","236","0.06658033792342698","0.0008004002512979407","55","hold"
"9","AIOT","OKZOO","0.07995911771651495","8.871112003488","41.544276466815","1.767623795333","20722777","5257373.18","82.3","85","34","140","76","0.021441125771951057","0.0009497504977455227","92","buy"
"10","EIGEN","Eigenlayer","0.190623","2.1528313247433095","12.846917297667751","","141252841","30997220","77.8","60","57","103","233","0.0657339776955868","0.0064737923902630995","41","hold"
"11","XCN","Onyxcoin","0.003910551962572349","-0.988862951811","3.025698051082","-20.871750737759","149926673","9152233.32","77.3","58","1647","124","360","0.1015632273408208","0.006871324837741593","34","hold"
"12","SYN","Synapse","0.03949369235904132","23.451518230443","-2.929785667359","-23.385936498727","8526182","25215104.37","77.2","65","16","244","123","0.034700769341447106","0.00039076546537990134","79","buy"
"13","XION","XION","0.11613747490004381","-2.490716260441","0.821042051178","-18.633283564902","8233371","3477642.83","73.7","61","2611","1528","35","0.009874202658135356","0.0003773455751308597","67","hold"
"14","CAT","Simons Cat","0.0000014820652521793505","-2.060890527264","-2.372660026013","-24.399285256848","10020454","2136503.39","73.1","66","2178","523","105","0.029622607974406065","0.0004592497991044402","98","hold"
"15","KNTQ","Kinetiq","0.21077880796039927","1.026577843119","-11.333188919547","30.934042295135","58994458","777210.01","72.6","57","103","1056","157","0.04429285192363574","0.00270378896852132","93","hold"
"16","ANKR","Ankr Network","0.003888248972704612","-2.152789217529","-0.11968051757","-19.424750469945","38745628","5702643.92","72.4","32","3061","547","24","0.0067713403021710614","0.0017757600479155308","60","hold"
"17","JASMY","JasmyCoin","0.005267338553231467","10.15249930442","9.777957169238","-14.448323163592","263257900","47882834.17","72.3","43","3","141","470","0.13260541425084996","0.01206543512775537","44","hold"
"18","MAX","MAX Exchange Token","0.27133858192125315","0.406056707743","-2.053449651348","-8.988593849845","18161005.09","12084.72","72.3","52","237","1870","112","0.03159744850603314","0.0008323413229697193","83","hold"
