
 n sku             price_aud shopify shopify_product_id photo_filenames            photo_binaries
 - ---             --------- ------- ------------------ ---------------            --------------
 1 ZM-GALLERY-0007        75 PASS    8688854564964      IMG_4238.DNG               MISSING       
 2 ZM-GALLERY-0008        50 PASS    8688854630500      IMG_4339.HEIC              MISSING       
 3 ZM-GALLERY-0009        50 PASS    8688854728804      IMG_4323.DNG               MISSING       
 4 ZM-GALLERY-0010        55 PASS    8688854794340      IMG_4464.HEIC              MISSING       
 5 ZM-GALLERY-0011        80 PASS    8688854827108      IMG_4404.HEIC              MISSING       
 6 ZM-GALLERY-0012        60 PASS    8688854892644      IMG_4700.DNG,IMG_4698.HEIC MISSING       
 7 ZM-GALLERY-0013        45 PASS    8688854990948      IMG_4206.HEIC              MISSING       
 8 ZM-GALLERY-0014       110 PASS    8688855056484                                 MISSING       
 9 ZM-GALLERY-0015       100 PASS    8688855089252      IMG_4560.HEIC              MISSING       
10 ZM-GALLERY-0016        65 PASS    8688855154788      IMG_4109.HEIC              MISSING       
11 ZM-GALLERY-0017        50 PASS    8688855253092      IMG_4057.DNG               MISSING       



