
LocalAddress                           LocalPort OwningProcess
------------                           --------- -------------
::                                           123         11648
0.0.0.0                                      123         11648
172.20.10.6                                  137             4
172.20.10.6                                  138             4
::                                           500          4812
0.0.0.0                                      500          4812
::1                                         1900          7536
fe80::bca1:af07:c641:fc97%28                1900          7536
127.0.0.1                                   1900          7536
172.20.10.6                                 1900          7536
172.20.10.6                                 2177         16056
fe80::bca1:af07:c641:fc97%28                2177         16056
2405:6e00:c09:909c:ec35:d546:be4f:124b      2177         16056
2405:6e00:c09:909c:c81f:5a93:8f54:b20c      2177         16056
0.0.0.0                                     3544          4732
0.0.0.0                                     4500          4812
::                                          4500          4812
0.0.0.0                                     5050         10876
0.0.0.0                                     5353          3264
::                                          5353         12624
::                                          5355          3264
0.0.0.0                                     5355          3264
127.0.0.1                                  49664          4732
0.0.0.0                                    49787          7384
::                                         50361          1440
::                                         50385          1440
::                                         50408          1440
::                                         50409          1440
172.20.10.6                                56546          4732
::                                         57621         19808
fe80::bca1:af07:c641:fc97%28               58792          7536
::1                                        58793          7536
172.20.10.6                                58794          7536
127.0.0.1                                  58795          7536
::                                         63776         23024
::                                         64007         19656
::                                         64033         19656
::                                         64034         19656
::                                         64035         19656



