tier	pid	ppid	exe	cmd(160)	uptime	ports	script	script_exists
1	13840	22788	C:\Program Files\Git\bin\bash.exe	"C:\Program Files\Git\bin\bash.exe" -c ". /c/Users/Armin/.zcode/cli/exec/shell-snapshots/snapshot-bash-1787051510349-g87nrw.sh 2>/dev/null || true
. /c/Users/Ar	0d0h1m	-	-	-
1	4380	20152	C:\WINDOWS\system32\cmd.exe	C:\WINDOWS\system32\cmd.exe /c ""F:\backup\_ops\run-live-headless.bat" "	0d4h55m	-	-	-
1	18360	18196	C:\Program Files\Python313\python.exe	python  -X utf8 telegram_center\center.py	0d4h56m	127.0.0.1:8776	-	-
1	18196	17744	C:\WINDOWS\system32\cmd.exe	C:\WINDOWS\system32\cmd.exe /c ""F:\backup\_ops\telegram_center\RUN-TG-CENTER.bat" "	0d4h56m	-	-	-
1	1440	17576	C:\Program Files (x86)\cloudflared\cloudflared.exe	"C:\Program Files (x86)\cloudflared\cloudflared.exe" tunnel --config C:\Users\Armin\.cloudflared\octopus-cp-config.yml run octopus-cp 	0d1h20m	127.0.0.1:20242,:::50361,:::50385,:::50408,:::50409	-	-
1	19656	15696	C:\Program Files (x86)\cloudflared\cloudflared.exe	"C:\Program Files (x86)\cloudflared\cloudflared.exe" tunnel --no-autoupdate run --url http://127.0.0.1:8774 octopus-miniapp 	0d2h5m	127.0.0.1:20241,:::64007,:::64033,:::64034,:::64035	-	-
1	6548	13840	C:\Program Files\Git\bin\..\usr\bin\bash.exe	"C:\Program Files\Git\bin\..\usr\bin\bash.exe" -c ". /c/Users/Armin/.zcode/cli/exec/shell-snapshots/snapshot-bash-1787051510349-g87nrw.sh 2>/dev/null || true
. 	0d0h1m	-	-	-
1	16736	13820	C:\Program Files\Python313\python.exe	"C:\Program Files\Python313\python.exe" -X utf8 F:\backup\_ops\board_cp\server.py 	0d1h21m	0.0.0.0:8801	-	-
1	20288	11624	C:\WINDOWS\system32\cmd.exe	C:\WINDOWS\system32\cmd.exe /c ""F:\backup\_ops\RUN-ORGANISM.bat" "	0d4h46m	-	-	-
1	19236	11568	C:\WINDOWS\system32\cmd.exe	C:\WINDOWS\system32\cmd.exe /c ""F:\backup\_ops\RUN-CORTEX.bat" "	0d4h49m	-	-	-
1	23200	9516	C:\Program Files\ZCode\ZCode.exe	"C:\Program Files\ZCode\ZCode.exe" --type=renderer --user-data-dir="C:\Users\Armin\AppData\Roaming\ZCode" --cors-schemes=rum-event --fetch-schemes=rum-event --a	0d3h41m	-	-	-
1	20996	6548	C:\Program Files\Git\bin\..\usr\bin\bash.exe	"C:\Program Files\Git\bin\..\usr\bin\bash.exe" -c ". /c/Users/Armin/.zcode/cli/exec/shell-snapshots/snapshot-bash-1787051510349-g87nrw.sh 2>/dev/null || true
. 	0d0h1m	-	-	-
1	11404	5784	C:\Program Files (x86)\Lenovo\VantageService\5.1.2607.5\LenovoVantage-(GenericMessagingAddin).exe	"C:\Program Files (x86)\Lenovo\VantageService\5.1.2607.5\LenovoVantage-(GenericMessagingAddin).exe" GenericMessagingAddin C:\ProgramData\Lenovo\Vantage\Addins\\	0d4h52m	-	-	-
1	17912	4860	C:\Program Files\Python313\python.exe	"C:\Program Files\Python313\python.exe" -X utf8 F:\backup\_ops\telegram_center\miniapp_gateway.py 	0d4h55m	127.0.0.1:8774	-	-
1	15696	2388	C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe	"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe" -ExecutionPolicy Bypass -File F:\backup\_ops\telegram_center\run-miniapp-tunnel-named.ps1 	0d2h5m	-	-	-
