
TaskPath                                                               TaskName                                                                                   State
--------                                                               --------                                                                                   -----
\                                                                      germline-daily                                                                             Ready
\                                                                      germline-hourly                                                                            Ready
\                                                                      OCTOPUS 4d Consolidation Tick                                                              Ready
\                                                                      OCTOPUS 4d Poisoning Watch                                                                 Ready
\                                                                      OCTOPUS Observatory Hourly                                                                 Ready
\                                                                      OCTOPUS-Cockpit-Brain                                                                      Ready
\                                                                      OCTOPUS-Cortex-Watchdog                                                                    Ready
\                                                                      OCTOPUS-doctor-day                                                                         Ready
\                                                                      OCTOPUS-Live-Watchdog                                                                      Ready
\                                                                      OCTOPUS-MiniApp-Watchdog                                                                   Ready
\                                                                      OCTOPUS-Observatory                                                                        Ready
\                                                                      OCTOPUS-TG-Center-Watchdog                                                                 Ready
\                                                                      OctopusLiveDataRefresh                                                                     Ready
\                                                                      OneDrive Reporting Task-S-1-5-21-1904952333-486408809-1363513654-1000                      Ready
\                                                                      OneDrive Standalone Update Task-S-1-5-21-1904952333-486408809-1363513654-1000              Ready
\                                                                      OneDrive Startup Task-S-1-5-21-1904952333-486408809-1363513654-1000                        Ready
\                                                                      organism-watchdog                                                                          Ready
\GoogleUserPEH\                                                        RunPlatformExperienceHelper_Daily                                                          Ready
\GoogleUserPEH\                                                        RunPlatformExperienceHelper_Metrics                                                        Ready
\Microsoft\Windows\.NET Framework\                                     .NET Framework NGEN v4.0.30319                                                             Ready
\Microsoft\Windows\.NET Framework\                                     .NET Framework NGEN v4.0.30319 64                                                          Ready
\Microsoft\Windows\AccountHealth\                                      RecoverabilityToastTask                                                                    Ready
\Microsoft\Windows\Active Directory Rights Management Services Client\ AD RMS Rights Policy Template Management (Manual)                                          Ready
\Microsoft\Windows\Application Experience\                             MareBackup                                                                                 Ready
\Microsoft\Windows\Application Experience\                             Microsoft Compatibility Appraiser Exp                                                      Ready
\Microsoft\Windows\Application Experience\                             PcaPatchDbTask                                                                             Ready
\Microsoft\Windows\Application Experience\                             SdbinstMergeDbTask                                                                         Ready
\Microsoft\Windows\Application Experience\                             StartupAppTask                                                                             Ready
\Microsoft\Windows\ApplicationData\                                    appuriverifierdaily                                                                        Ready
\Microsoft\Windows\ApplicationData\                                    appuriverifierinstall                                                                      Ready
\Microsoft\Windows\ApplicationData\                                    CleanupTemporaryState                                                                      Ready
\Microsoft\Windows\ApplicationData\                                    DsSvcCleanup                                                                               Ready
\Microsoft\Windows\AppListBackup\                                      Backup                                                                                     Ready
\Microsoft\Windows\AppListBackup\                                      BackupNonMaintenance                                                                       Ready
\Microsoft\Windows\Autochk\                                            Proxy                                                                                      Ready
\Microsoft\Windows\BitLocker\                                          BitLocker Encrypt All Drives                                                               Ready
\Microsoft\Windows\BitLocker\                                          BitLocker MDM policy Refresh                                                               Ready
\Microsoft\Windows\Bluetooth\                                          UninstallDeviceTask                                                                        Ready
\Microsoft\Windows\BrokerInfrastructure\                               BgTaskRegistrationMaintenanceTask                                                          Ready
\Microsoft\Windows\capabilityaccessmanager\                            maintenancetasks                                                                           Ready
\Microsoft\Windows\CertificateServicesClient\                          UserTask                                                                                   Ready
\Microsoft\Windows\CertificateServicesClient\                          UserTask-Roam                                                                              Ready
\Microsoft\Windows\Chkdsk\                                             ProactiveScan                                                                              Ready
\Microsoft\Windows\Chkdsk\                                             SyspartRepair                                                                              Ready
\Microsoft\Windows\CloudExperienceHost\                                CreateObjectTask                                                                           Ready
\Microsoft\Windows\CloudRestore\                                       Backup                                                                                     Ready
\Microsoft\Windows\CloudRestore\                                       Restore                                                                                    Ready
\Microsoft\Windows\ConsentUX\UnifiedConsent\                           UnifiedConsentSyncTask                                                                     Ready
\Microsoft\Windows\Containers\                                         CmCleanup                                                                                  Ready
\Microsoft\Windows\Customer Experience Improvement Program\            Consolidator                                                                               Ready
\Microsoft\Windows\Customer Experience Improvement Program\            UsbCeip                                                                                    Ready
\Microsoft\Windows\Data Integrity Scan\                                Data Integrity Check And Scan                                                              Ready
\Microsoft\Windows\Data Integrity Scan\                                Data Integrity Scan                                                                        Ready
\Microsoft\Windows\Data Integrity Scan\                                Data Integrity Scan for Crash Recovery                                                     Ready
\Microsoft\Windows\Defrag\                                             ScheduledDefrag                                                                            Ready
\Microsoft\Windows\Device Information\                                 Device                                                                                     Ready
\Microsoft\Windows\Device Information\                                 Device User                                                                                Ready
\Microsoft\Windows\Diagnosis\                                          RecommendedTroubleshootingScanner                                                          Ready
\Microsoft\Windows\Diagnosis\                                          Scheduled                                                                                  Ready
\Microsoft\Windows\Diagnosis\                                          UnexpectedCodepath                                                                         Ready
\Microsoft\Windows\DirectX\                                            DirectXDatabaseUpdater                                                                     Ready
\Microsoft\Windows\DirectX\                                            DXGIAdapterCache                                                                           Ready
\Microsoft\Windows\DiskCleanup\                                        SilentCleanup                                                                              Ready
\Microsoft\Windows\DiskFootprint\                                      Diagnostics                                                                                Ready
\Microsoft\Windows\DiskFootprint\                                      StorageSense                                                                               Ready
\Microsoft\Windows\DUSM\                                               dusmtask                                                                                   Ready
\Microsoft\Windows\EDP\                                                EDP App Launch Task                                                                        Ready
\Microsoft\Windows\EDP\                                                EDP Auth Task                                                                              Ready
\Microsoft\Windows\EDP\                                                EDP Inaccessible Credentials Task                                                          Ready
\Microsoft\Windows\EDP\                                                StorageCardEncryption Task                                                                 Ready
\Microsoft\Windows\ExploitGuard\                                       ExploitGuard MDM policy Refresh                                                            Ready
\Microsoft\Windows\Feedback\Siuf\                                      DmClient                                                                                   Ready
\Microsoft\Windows\Feedback\Siuf\                                      DmClientOnScenarioDownload                                                                 Ready
\Microsoft\Windows\FileHistory\                                        File History (maintenance mode)                                                            Ready
\Microsoft\Windows\Flighting\FeatureConfig\                            GovernedFeatureUsageProcessing                                                             Ready
\Microsoft\Windows\Flighting\FeatureConfig\                            ReconcileConfigs                                                                           Ready
\Microsoft\Windows\Flighting\FeatureConfig\                            ReconcileFeatures                                                                          Ready
