
LocalAddress                           LocalPort RemoteAddress                       RemotePort OwningProcess
------------                           --------- -------------                       ---------- -------------
2405:6e00:c09:909c:ec35:d546:be4f:124b     14505 2001:67c:4e8:f004::9                       443         18360
2405:6e00:c09:909c:ec35:d546:be4f:124b     14503 2405:6e00:64::2b6d:59e2                    443         16668
2405:6e00:c09:909c:ec35:d546:be4f:124b     13633 2606:4700::6812:1b30                       443         23024
2405:6e00:c09:909c:ec35:d546:be4f:124b     13246 2405:6e00:64::226b:f35d                    443          9416
2405:6e00:c09:909c:ec35:d546:be4f:124b     11651 2606:4700::6812:1b30                       443         23024
2405:6e00:c09:909c:ec35:d546:be4f:124b      9620 2404:6800:4003:c03::bc                    5228         23024
2405:6e00:c09:909c:ec35:d546:be4f:124b      8556 2603:1030:210:f::2                         443          6096
2405:6e00:c09:909c:ec35:d546:be4f:124b      7872 2603:1030:210:f::2                         443          6096
2405:6e00:c09:909c:ec35:d546:be4f:124b      4252 2405:6e00:64::7b39:7430                    443         22788
2405:6e00:c09:909c:ec35:d546:be4f:124b      4249 2001:67c:4e8:f004::9                       443         17128
2405:6e00:c09:909c:ec35:d546:be4f:124b      4245 2606:4700::6812:1b30                       443         23024
2405:6e00:c09:909c:ec35:d546:be4f:124b      3569 2405:6e00:64::321:eb12                     443         15120
2405:6e00:c09:909c:ec35:d546:be4f:124b      1657 2a03:2880:f219:80c5:face:b00c:0:167        443         19808
2405:6e00:c09:909c:ec35:d546:be4f:124b      1061 2405:6e00:64::2b6d:59e2                    443         22788
127.0.0.1                                  13504 127.0.0.1                                13503         15120
127.0.0.1                                  13503 127.0.0.1                                13504         15120
127.0.0.1                                  12150 127.0.0.1                                12149          9272
127.0.0.1                                  12149 127.0.0.1                                12150          9272
127.0.0.1                                  12148 127.0.0.1                                12147          9416
127.0.0.1                                  12147 127.0.0.1                                12148          9416
127.0.0.1                                   2022 127.0.0.1                                 1029          5300
127.0.0.1                                   2021 127.0.0.1                                 1028          5292
127.0.0.1                                   1029 127.0.0.1                                 2022         15120
127.0.0.1                                   1028 127.0.0.1                                 2021         15120



