
InterfaceAlias                             IPAddress      
--------------                             ---------      
OpenVPN Connect DCO Adapter                169.254.82.218 
Local Area Connection 4                    169.254.63.224 
OpenVPN Data Channel Offload for Surfshark 169.254.25.220 
Local Area Connection* 10                  169.254.196.2  
Local Area Connection 3                    169.254.64.78  
Local Area Connection* 1                   169.254.159.111
Local Area Connection 2                    169.254.184.33 
Ethernet                                   169.254.163.233
Wi-Fi                                      172.20.10.6    
Local Area Connection                      169.254.178.228



