"LocalAddress","LocalPort","OwningProcess"
"::","49668","4848"
"::","49667","2692"
"::","49666","2268"
"::","49665","1476"
"::","49664","1648"
"::","5357","4"
"::","2869","4"
"::","1035","1596"
"::","1025","4728"
"::1","1024","5416"
"::","445","4"
"::","135","1940"
"0.0.0.0","49668","4848"
"0.0.0.0","49667","2692"
"0.0.0.0","49666","2268"
"0.0.0.0","49665","1476"
"0.0.0.0","49664","1648"
"127.0.0.1","48080","5196"
"127.0.0.1","20241","13604"
"127.0.0.1","11434","8048"
"127.0.0.1","8791","2324"
"127.0.0.1","8777","22936"
"127.0.0.1","8776","25636"
"127.0.0.1","8774","19176"
"127.0.0.1","8773","11992"
"127.0.0.1","8772","22584"
"127.0.0.1","8771","22936"
"127.0.0.1","6955","17488"
"0.0.0.0","5040","8796"
"127.0.0.1","2022","5164"
"127.0.0.1","2021","5172"
"127.0.0.1","2020","10956"
"0.0.0.0","1035","1596"
"0.0.0.0","1026","5196"
"0.0.0.0","1025","4728"
"192.168.0.191","139","4"
"172.17.176.1","139","4"
"0.0.0.0","135","1940"
