"TaskName","State","TaskPath"
"germline-daily","Ready","\"
"germline-hourly","Running","\"
"OCTOPUS 4d Consolidation Tick","Disabled","\"
"OCTOPUS 4d Poisoning Watch","Ready","\"
"OCTOPUS Observatory Hourly","Ready","\"
"OCTOPUS-Cockpit-Brain","Ready","\"
"OCTOPUS-Cortex-Watchdog","Ready","\"
"OCTOPUS-doctor-day","Ready","\"
"OCTOPUS-Live-Watchdog","Ready","\"
"OCTOPUS-MiniApp-Watchdog","Ready","\"
"OCTOPUS-Observatory","Ready","\"
"OCTOPUS-TG-Center-Watchdog","Running","\"
"OctopusLiveDataRefresh","Running","\"
"OneDrive Reporting Task-S-1-5-21-1904952333-486408809-1363513654-1000","Ready","\"
"OneDrive Standalone Update Task-S-1-5-21-1904952333-486408809-1363513654-1000","Ready","\"
"OneDrive Startup Task-S-1-5-21-1904952333-486408809-1363513654-1000","Ready","\"
"organism-watchdog","Ready","\"
"RunPlatformExperienceHelper_Daily","Ready","\GoogleUserPEH\"
"RunPlatformExperienceHelper_Metrics","Ready","\GoogleUserPEH\"
"Lenovo UDC Diagnostic Scan","Disabled","\Lenovo\UDC\"
".NET Framework NGEN v4.0.30319","Ready","\Microsoft\Windows\.NET Framework\"
".NET Framework NGEN v4.0.30319 64","Ready","\Microsoft\Windows\.NET Framework\"
".NET Framework NGEN v4.0.30319 64 Critical","Disabled","\Microsoft\Windows\.NET Framework\"
".NET Framework NGEN v4.0.30319 Critical","Disabled","\Microsoft\Windows\.NET Framework\"
"RecoverabilityToastTask","Ready","\Microsoft\Windows\AccountHealth\"
"AD RMS Rights Policy Template Management (Automated)","Disabled","\Microsoft\Windows\Active Directory Rights Management Services Client\"
"AD RMS Rights Policy Template Management (Manual)","Ready","\Microsoft\Windows\Active Directory Rights Management Services Client\"
"PolicyConverter","Disabled","\Microsoft\Windows\AppID\"
"VerifiedPublisherCertStoreCheck","Disabled","\Microsoft\Windows\AppID\"
"MareBackup","Ready","\Microsoft\Windows\Application Experience\"
"Microsoft Compatibility Appraiser Exp","Ready","\Microsoft\Windows\Application Experience\"
"PcaPatchDbTask","Ready","\Microsoft\Windows\Application Experience\"
"SdbinstMergeDbTask","Ready","\Microsoft\Windows\Application Experience\"
"StartupAppTask","Ready","\Microsoft\Windows\Application Experience\"
"appuriverifierdaily","Ready","\Microsoft\Windows\ApplicationData\"
"appuriverifierinstall","Ready","\Microsoft\Windows\ApplicationData\"
"CleanupTemporaryState","Ready","\Microsoft\Windows\ApplicationData\"
"DsSvcCleanup","Ready","\Microsoft\Windows\ApplicationData\"
"Backup","Ready","\Microsoft\Windows\AppListBackup\"
"BackupNonMaintenance","Ready","\Microsoft\Windows\AppListBackup\"
"Pre-staged app cleanup","Disabled","\Microsoft\Windows\AppxDeploymentClient\"
"Proxy","Ready","\Microsoft\Windows\Autochk\"
"BitLocker Encrypt All Drives","Ready","\Microsoft\Windows\BitLocker\"
"BitLocker MDM policy Refresh","Ready","\Microsoft\Windows\BitLocker\"
"UninstallDeviceTask","Ready","\Microsoft\Windows\Bluetooth\"
"BgTaskRegistrationMaintenanceTask","Ready","\Microsoft\Windows\BrokerInfrastructure\"
"maintenancetasks","Ready","\Microsoft\Windows\capabilityaccessmanager\"
"UserTask","Ready","\Microsoft\Windows\CertificateServicesClient\"
"UserTask-Roam","Ready","\Microsoft\Windows\CertificateServicesClient\"
"ProactiveScan","Ready","\Microsoft\Windows\Chkdsk\"
"SyspartRepair","Ready","\Microsoft\Windows\Chkdsk\"
"CreateObjectTask","Ready","\Microsoft\Windows\CloudExperienceHost\"
"Backup","Ready","\Microsoft\Windows\CloudRestore\"
"Restore","Ready","\Microsoft\Windows\CloudRestore\"
"UnifiedConsentSyncTask","Ready","\Microsoft\Windows\ConsentUX\UnifiedConsent\"
"CmCleanup","Ready","\Microsoft\Windows\Containers\"
"Consolidator","Ready","\Microsoft\Windows\Customer Experience Improvement Program\"
"UsbCeip","Ready","\Microsoft\Windows\Customer Experience Improvement Program\"
"Data Integrity Check And Scan","Ready","\Microsoft\Windows\Data Integrity Scan\"
"Data Integrity Scan","Ready","\Microsoft\Windows\Data Integrity Scan\"
"Data Integrity Scan for Crash Recovery","Ready","\Microsoft\Windows\Data Integrity Scan\"
"ScheduledDefrag","Ready","\Microsoft\Windows\Defrag\"
"Device","Ready","\Microsoft\Windows\Device Information\"
"Device User","Ready","\Microsoft\Windows\Device Information\"
"Driver Recovery on Reboot","Disabled","\Microsoft\Windows\Device Setup\"
"RecommendedTroubleshootingScanner","Ready","\Microsoft\Windows\Diagnosis\"
"Scheduled","Ready","\Microsoft\Windows\Diagnosis\"
"UnexpectedCodepath","Ready","\Microsoft\Windows\Diagnosis\"
"DirectXDatabaseUpdater","Ready","\Microsoft\Windows\DirectX\"
"DXGIAdapterCache","Ready","\Microsoft\Windows\DirectX\"
"SilentCleanup","Ready","\Microsoft\Windows\DiskCleanup\"
"Microsoft-Windows-DiskDiagnosticDataCollector","Disabled","\Microsoft\Windows\DiskDiagnostic\"
"Microsoft-Windows-DiskDiagnosticResolver","Disabled","\Microsoft\Windows\DiskDiagnostic\"
"Diagnostics","Ready","\Microsoft\Windows\DiskFootprint\"
"StorageSense","Ready","\Microsoft\Windows\DiskFootprint\"
"dusmtask","Ready","\Microsoft\Windows\DUSM\"
"EDP App Launch Task","Ready","\Microsoft\Windows\EDP\"
"EDP Auth Task","Ready","\Microsoft\Windows\EDP\"
"EDP Inaccessible Credentials Task","Ready","\Microsoft\Windows\EDP\"
"StorageCardEncryption Task","Ready","\Microsoft\Windows\EDP\"
"ExploitGuard MDM policy Refresh","Ready","\Microsoft\Windows\ExploitGuard\"
"DmClient","Ready","\Microsoft\Windows\Feedback\Siuf\"
"DmClientOnScenarioDownload","Ready","\Microsoft\Windows\Feedback\Siuf\"
"Property Definition Sync","Disabled","\Microsoft\Windows\File Classification Infrastructure\"
"File History (maintenance mode)","Ready","\Microsoft\Windows\FileHistory\"
"BootstrapUsageDataReporting","Disabled","\Microsoft\Windows\Flighting\FeatureConfig\"
"GovernedFeatureUsageProcessing","Ready","\Microsoft\Windows\Flighting\FeatureConfig\"
"ReconcileConfigs","Ready","\Microsoft\Windows\Flighting\FeatureConfig\"
"ReconcileFeatures","Ready","\Microsoft\Windows\Flighting\FeatureConfig\"
"SafeguardsReconciliation","Ready","\Microsoft\Windows\Flighting\FeatureConfig\"
"UsageDataFlushing","Ready","\Microsoft\Windows\Flighting\FeatureConfig\"
"UsageDataReceiver","Ready","\Microsoft\Windows\Flighting\FeatureConfig\"
"UsageDataReporting","Ready","\Microsoft\Windows\Flighting\FeatureConfig\"
"RefreshCache","Ready","\Microsoft\Windows\Flighting\OneSettings\"
"Monitoring","Ready","\Microsoft\Windows\Hotpatch\"
"InputSettingsRestoreDataAvailable","Ready","\Microsoft\Windows\input\"
"LocalUserSyncDataAvailable","Ready","\Microsoft\Windows\input\"
"MouseSyncDataAvailable","Ready","\Microsoft\Windows\input\"
"PenSyncDataAvailable","Ready","\Microsoft\Windows\input\"
"RemoteMouseSyncDataAvailable","Ready","\Microsoft\Windows\input\"
"RemotePenSyncDataAvailable","Ready","\Microsoft\Windows\input\"
"RemoteTouchpadSyncDataAvailable","Ready","\Microsoft\Windows\input\"
"syncpensettings","Ready","\Microsoft\Windows\input\"
"TouchpadSyncDataAvailable","Ready","\Microsoft\Windows\input\"
"RestoreDevice","Ready","\Microsoft\Windows\InstallService\"
"ScanForUpdates","Ready","\Microsoft\Windows\InstallService\"
"ScanForUpdatesAsUser","Ready","\Microsoft\Windows\InstallService\"
"WakeUpAndContinueUpdates","Disabled","\Microsoft\Windows\InstallService\"
"WakeUpAndScanForUpdates","Disabled","\Microsoft\Windows\InstallService\"
"Synchronize Language Settings","Ready","\Microsoft\Windows\International\"
"La57Cleanup","Ready","\Microsoft\Windows\Kernel\"
"Installation","Ready","\Microsoft\Windows\LanguageComponentsInstaller\"
"ReconcileLanguageResources","Ready","\Microsoft\Windows\LanguageComponentsInstaller\"
"WindowsActionDialog","Ready","\Microsoft\Windows\Location\"
"WinSAT","Ready","\Microsoft\Windows\Maintenance\"
"DetectHardwareChange","Disabled","\Microsoft\Windows\Management\Autopilot\"
"RemediateHardwareChange","Disabled","\Microsoft\Windows\Management\Autopilot\"
"Cellular","Ready","\Microsoft\Windows\Management\Provisioning\"
"Logon","Ready","\Microsoft\Windows\Management\Provisioning\"
"MdmDiagnosticsCleanup","Disabled","\Microsoft\Windows\Management\Provisioning\"
"Retry","Disabled","\Microsoft\Windows\Management\Provisioning\"
"RunOnReboot","Disabled","\Microsoft\Windows\Management\Provisioning\"
"MapsToastTask","Ready","\Microsoft\Windows\Maps\"
"MapsUpdateTask","Disabled","\Microsoft\Windows\Maps\"
"AutomaticOfflineMemoryDiagnostic","Ready","\Microsoft\Windows\MemoryDiagnostic\"
"ProcessMemoryDiagnosticEvents","Ready","\Microsoft\Windows\MemoryDiagnostic\"
"RunFullMemoryDiagnostic","Disabled","\Microsoft\Windows\MemoryDiagnostic\"
"LPRemove","Ready","\Microsoft\Windows\MUI\"
"SystemSoundsService","Running","\Microsoft\Windows\Multimedia\"
"NcsiIdentifyUserProxies","Ready","\Microsoft\Windows\Network Connectivity Status Indicator\"
"WiFiTask","Ready","\Microsoft\Windows\NlaSvc\"
"Background Synchronization","Disabled","\Microsoft\Windows\Offline Files\"
"Logon Synchronization","Disabled","\Microsoft\Windows\Offline Files\"
"PCR Prediction Framework Firmware Update Task","Ready","\Microsoft\Windows\PCRPF\"
"ShowFeedbackToast","Ready","\Microsoft\Windows\PerformanceTrace\"
"WhesvcToast","Ready","\Microsoft\Windows\PerformanceTrace\"
"Device Install Group Policy","Ready","\Microsoft\Windows\Plug and Play\"
"Device Install Reboot Required","Ready","\Microsoft\Windows\Plug and Play\"
"Sysprep Generalize Drivers","Ready","\Microsoft\Windows\Plug and Play\"
"AnalyzeSystem","Ready","\Microsoft\Windows\Power Efficiency Diagnostics\"
"EduPrintProv","Ready","\Microsoft\Windows\Printing\"
"PrinterCleanupTask","Ready","\Microsoft\Windows\Printing\"
"PrintJobCleanupTask","Disabled","\Microsoft\Windows\Printing\"
"VerifyWinRE","Disabled","\Microsoft\Windows\RecoveryEnvironment\"
"Initialization","Ready","\Microsoft\Windows\ReFsDedupSvc\"
"RegIdleBackup","Ready","\Microsoft\Windows\Registry\"
"OOBEFodSetup","Disabled","\Microsoft\Windows\Servicing\"
"StartComponentCleanup","Ready","\Microsoft\Windows\Servicing\"
"PITRTask","Ready","\Microsoft\Windows\Setup\"
"SetupRecoveryDataTask","Ready","\Microsoft\Windows\Setup\"
"Account Cleanup","Disabled","\Microsoft\Windows\SharedPC\"
"CreateObjectTask","Ready","\Microsoft\Windows\Shell\"
"FamilySafetyMonitor","Ready","\Microsoft\Windows\Shell\"
"FamilySafetyRefreshTask","Ready","\Microsoft\Windows\Shell\"
"IndexerAutomaticMaintenance","Ready","\Microsoft\Windows\Shell\"
"ThemesSyncedImageDownload","Ready","\Microsoft\Windows\Shell\"
"SvcRestartTaskLogon","Disabled","\Microsoft\Windows\SoftwareProtectionPlatform\"
"SpaceAgentTask","Ready","\Microsoft\Windows\SpacePort\"
"SpaceManagerTask","Ready","\Microsoft\Windows\SpacePort\"
"MaintenanceTasks","Ready","\Microsoft\Windows\StateRepository\"
"Storage Tiers Management Initialization","Ready","\Microsoft\Windows\Storage Tiers Management\"
"Storage Tiers Optimization","Disabled","\Microsoft\Windows\Storage Tiers Management\"
"EnableLicenseAcquisition","Ready","\Microsoft\Windows\Subscription\"
"LicenseAcquisition","Disabled","\Microsoft\Windows\Subscription\"
"PowerGridForecastTask","Ready","\Microsoft\Windows\Sustainability\"
"SustainabilityTelemetry","Ready","\Microsoft\Windows\Sustainability\"
"HybridDriveCachePrepopulate","Disabled","\Microsoft\Windows\Sysmain\"
"HybridDriveCacheRebalance","Disabled","\Microsoft\Windows\Sysmain\"
"ResPriStaticDbSync","Ready","\Microsoft\Windows\Sysmain\"
"WsSwapAssessmentTask","Ready","\Microsoft\Windows\Sysmain\"
"SR","Ready","\Microsoft\Windows\SystemRestore\"
"Interactive","Ready","\Microsoft\Windows\Task Manager\"
"MsCtfMonitor","Ready","\Microsoft\Windows\TextServicesFramework\"
"ForceSynchronizeTime","Ready","\Microsoft\Windows\Time Synchronization\"
"SynchronizeTime","Ready","\Microsoft\Windows\Time Synchronization\"
"SynchronizeTimeZone","Ready","\Microsoft\Windows\Time Zone\"
"UPnPHostConfig","Ready","\Microsoft\Windows\UPnP\"
"Usb-Notifications","Ready","\Microsoft\Windows\USB\"
"WiFiTask","Ready","\Microsoft\Windows\WCM\"
"ResolutionHost","Ready","\Microsoft\Windows\WDI\"
"Windows Defender Cache Maintenance","Ready","\Microsoft\Windows\Windows Defender\"
"Windows Defender Cleanup","Ready","\Microsoft\Windows\Windows Defender\"
"Windows Defender Scheduled Scan","Ready","\Microsoft\Windows\Windows Defender\"
"Windows Defender Verification","Ready","\Microsoft\Windows\Windows Defender\"
"QueueReporting","Ready","\Microsoft\Windows\Windows Error Reporting\"
"BfeOnServiceStartTypeChange","Ready","\Microsoft\Windows\Windows Filtering Platform\"
"UpdateLibrary","Ready","\Microsoft\Windows\Windows Media Sharing\"
"Calibration Loader","Ready","\Microsoft\Windows\WindowsColorSystem\"
"Scheduled Start","Ready","\Microsoft\Windows\WindowsUpdate\"
"CacheTask","Running","\Microsoft\Windows\Wininet\"
"CDSSync","Ready","\Microsoft\Windows\WlanSvc\"
"MoProfileManagement","Ready","\Microsoft\Windows\WlanSvc\"
"Work Folders Logon Synchronization","Ready","\Microsoft\Windows\Work Folders\"
"Work Folders Maintenance Work","Ready","\Microsoft\Windows\Work Folders\"
"Automatic-Device-Join","Disabled","\Microsoft\Windows\Workplace Join\"
"Device-Sync","Disabled","\Microsoft\Windows\Workplace Join\"
"Recovery-Check","Disabled","\Microsoft\Windows\Workplace Join\"
"NotificationTask","Ready","\Microsoft\Windows\WwanSvc\"
"OobeDiscovery","Ready","\Microsoft\Windows\WwanSvc\"
"XblGameSaveTask","Ready","\Microsoft\XblGameSave\"
"Firefox Background Update S-1-5-21-1904952333-486408809-1363513654-1000 308046B0AF4A39CB","Ready","\Mozilla\"
"Firefox Default Browser Agent 308046B0AF4A39CB","Ready","\Mozilla\"
