id,territory,class,season_relevant,U,R,C,rank,state,path
F-001,runtime,OPEN_WORK,false,5,4,5,21.0,open,138:/home/ari/ofn/state/ops-agent/state/canary-requests + ops-receipts.jsonl
F-002,lanes,OPEN_WORK,false,5,4,4,20.8,open,F:/backup/09-LANES/OCTOPUS-FORENSIC-REORIENTATION-20260915/OPEN-WORK.json
F-005,runtime,DEBT_HIDDEN,false,4,5,3,20.6,open,138:/home/ari/ofn/state/fleet-jobs/fleet_jobs.jsonl
F-007,runtime,OPEN_WORK,false,4,5,2,20.4,open,138:/home/ari/ofn/state/revenue-drive/owner-review.json + F:/backup/01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
F-006,06-EVIDENCE,RULING_UNEXECUTED,false,3,5,3,15.6,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/GOV-V8-REVENUE-IGNITION-2026-09-05.md
F-008,06-EVIDENCE,OPEN_WORK,false,3,5,2,15.4,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-003,lanes,OPEN_WORK,false,3,4,5,13.0,open,F:/backup/09-LANES/OCTOPUS-FORENSIC-REORIENTATION-20260915/staged-units/INSTALL-PLAN-114-160.md
F-012,lanes,OPEN_WORK,false,4,3,5,13.0,open,F:/backup/09-LANES/OCTOPUS-FORENSIC-REORIENTATION-20260915/ROUND2-VERDICTS-20260915.md
F-013,lanes,OPEN_WORK,false,4,3,5,13.0,open,F:/backup/09-LANES/OCTOPUS-BODY-ADAPTATION-NEXT-20260915/CURRENT-STATE.json
F-014,runtime,OPEN_WORK,false,4,3,5,13.0,open,138: canary-requests/native-Z-SUCCESSOR-TRIO-002.json + W3G30
F-016,surfaces,OPEN_WORK,false,3,4,5,13.0,open,F:/backup/01 - Dashboard/UNLOCK-REGISTRY-2026-09-08.md
F-026,06-EVIDENCE,OPEN_WORK,false,3,4,5,13.0,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-004,lanes,OPEN_WORK,false,4,3,4,12.8,open,F:/backup/09-LANES/OCTOPUS-COMMANDER-W24-20260913/LANE-REPORT.md
F-019,lanes,DEBT_HIDDEN,false,3,4,4,12.8,open,F:/backup/09-LANES/OCTOPUS-FORENSIC-REORIENTATION-20260915/FORGOTTEN-LEADS.md
F-020,runtime,OPEN_WORK,false,3,4,4,12.8,open,138: revenue-state.json 06:01:30Z
F-071,surfaces,OPEN_WORK,false,3,4,4,12.8,open,F:/backup/01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
F-010,06-EVIDENCE,OPEN_WORK,false,3,4,3,12.6,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-070,06-EVIDENCE,RULING_UNEXECUTED,false,3,4,3,12.6,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/ERRATA-AND-UNBLOCK-2026-09-05.md
F-098,carried-misc,OPEN_WORK,false,3,4,3,12.6,open,F:/backup/00-SEASON/SEASON-ZIMAN-GOV-V8-EXTERNAL-HANDOFF-20260906.md + CURRENT-TRUTH
F-099,carried-misc,OPEN_WORK,false,3,4,3,12.6,open,F:/backup/00-SEASON/ziman-full-repair-20260910/fleet-brain/WORKER-BIND-MAP-100-160-193-114-20260915.md
F-100,carried-misc,OPEN_WORK,false,3,4,3,12.6,open,this lane (CADENCE.md proposal)
F-009,lanes,OPEN_WORK,false,3,4,2,12.4,open,"F:/backup/09-LANES/MP-CAPABILITY-GAP-01-20260907/LANE-REPORT.md (+MP-V41, MP-EX1, IGN1, 02-DECISIONS)"
F-017,lanes,ABANDONED_PLAN,false,3,4,2,12.4,open,F:/backup/09-LANES/OCTOPUS-HARDWARE-EXEC-20260915/LANE-REPORT.md
F-069,lanes,OPEN_WORK,false,3,4,2,12.4,open,F:/backup/09-LANES/OCTOPUS-FORENSIC-REORIENTATION-20260915/ROUND2-VERDICTS-20260915.md
F-091,carried-misc,OPEN_WORK,false,2,5,2,10.4,open,F:/backup/02-DECISIONS/D3-CLOSURE-ROTATE-ACCEPT-2026-08-19T0940Z.md
F-047,carried-misc,OPEN_WORK,false,2,5,1,10.2,open,disk-crisis memory + 99-ARCHIVE state
F-018,lanes,OPEN_WORK,false,3,3,5,10.0,open,F:/backup/09-LANES/OCTOPUS-HARDWARE-ENROLLMENT-20260915/LANE-REPORT.md
OPS-1,_ops,SEASON_LEFTOVER,true,3,3,5,10.0,open,_ops/STOP-FUGU
OPS-2,_ops,SEASON_LEFTOVER,true,3,3,5,10.0,open,_ops/governor/governor-alerts.md
OPS-3,_ops,SEASON_LEFTOVER,true,3,3,5,10.0,open,_ops/governor/governor-alerts.md
SE-3,01 - Dashboard (season sweep),SEASON_LEFTOVER,true,3,3,5,10.0,open,01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
4D-16,4d_system,RULING_UNEXECUTED,false,3,3,5,10.0,open,4d_system/VERDICT_QUEUE.md
4D-18,4d_system,OPEN_WORK,false,3,3,5,10.0,open,4d_system/SELF_HEAL.md
OPS-7,_ops,RULING_UNEXECUTED,false,3,3,5,10.0,open,_ops/cortex/plans/TELEGRAM-COGNITION-DEEP-DEBUG-2026-08-21.md
RT-1,runtime,OPEN_WORK,true,3,3,5,10.0,open,138:~/ofn/state/deep-scan/findings-current.json
RT-8,runtime,DEBT_HIDDEN,true,3,3,5,10.0,open,138:~/ofn (git status)
F-011,runtime,OPEN_WORK,false,3,3,4,9.8,open,138: ops-receipts + budget_allows('B5')
F-051,lanes,OPEN_WORK,false,3,3,4,9.8,open,F:/backup/09-LANES/OCTOPUS-FORENSIC-REORIENTATION-20260915/OPEN-WORK.json
KN-5,07 - Knowledge,OPEN_WORK,false,3,3,4,9.8,open,F:/backup/07 - Knowledge/_audit/OPEN_LOOPS.md
RT-15,runtime,OPEN_WORK,true,3,3,4,9.8,open,138:~/ofn/state/ops-agent/ops_agent.py
F-049,06-EVIDENCE,OPEN_WORK,false,3,3,3,9.6,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-031,carried-misc,OPEN_WORK,false,2,4,5,9.0,open,F:/backup/00-SEASON/DIRECTORY-YP-SUBMITTED-20260906.json
F-046,runtime,DEBT_HIDDEN,false,2,4,5,9.0,open,138: systemctl list-units --state=failed
F-022,06-EVIDENCE,RULING_UNEXECUTED,false,2,4,3,8.6,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-025,surfaces,OPEN_WORK,false,2,4,3,8.6,open,F:/backup/01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
F-057,surfaces,OPEN_WORK,false,2,4,3,8.6,open,F:/backup/01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
F-084,lanes,OPEN_WORK,false,2,4,3,8.6,open,F:/backup/09-LANES/A-R0-IDENTITY/LANE-REPORT.md
F-097,carried-misc,OPEN_WORK,false,2,4,3,8.6,open,F:/backup/00-SEASON/ziman-full-repair-20260910/fleet-brain/P4-NODE-ID-AUTH-DESIGN-20260915.md
F-023,carried-misc,OPEN_WORK,false,2,4,2,8.4,open,F:/backup/00-SEASON/PROMPT-RUNS-20260908/studio-consent/STUDIO-CONSENT-CHECKLIST.md
F-027,06-EVIDENCE,OPEN_WORK,false,2,4,2,8.4,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/PARKED-LANES-2026-09-03.md
F-028,carried-misc,OPEN_WORK,false,2,4,2,8.4,open,F:/backup/03 - Projects/Ziman Galerry/TODO.md
F-038,06-EVIDENCE,OPEN_WORK,false,2,4,2,8.4,open,F:/backup/06-EVIDENCE/OWNER-KEY-STATUS-2026-08-20.md + RESTART-ACTIVATION
F-056,lanes,OPEN_WORK,false,2,4,2,8.4,open,F:/backup/09-LANES/OCTOPUS-BODY-ADAPTATION-NEXT-20260915/CURRENT-STATE.json
F-021,06-EVIDENCE,OPEN_WORK,false,2,3,5,7.0,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-044,06-EVIDENCE,OPEN_WORK,false,2,3,5,7.0,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-045,lanes,OPEN_WORK,false,2,3,5,7.0,open,F:/backup/09-LANES/B-PULSE-IMAP/LANE-REPORT.md
F-082,lanes,DOC_RUNTIME_DISCREPANCY,false,2,3,5,7.0,open,F:/backup/09-LANES/OCTOPUS-138-WIRING-20260908/LANE-REPORT.md
4D-1,4D-Vault,SEASON_LEFTOVER,true,2,3,5,7.0,open,4D-Vault/_RECONSTRUCTION-REPORT.txt
ARC-1,archive-cluster,SEASON_LEFTOVER,true,3,2,5,7.0,open,F:/backup/_Archive/Logs/HANDOFF-archive-2026-09-07.md
DOC-4,OCTOPUS-DOCTOR,SEASON_LEFTOVER,true,3,2,5,7.0,open,F:/backup/OCTOPUS-DOCTOR/50-اسکن‌ها/SCAN-2026-09-15.md
SE-5,01 - Dashboard (season sweep),SEASON_LEFTOVER,true,3,2,5,7.0,open,01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
SE-8,06-EVIDENCE (season sweep),SEASON_LEFTOVER,true,3,2,5,7.0,open,"06-EVIDENCE (git 686550b, 2026-09-15)"
SE-14,01 - Dashboard (season sweep),SEASON_LEFTOVER,true,3,2,5,7.0,open,01 - Dashboard/UNLOCK-PLAN-2026-09-08.md
4D-17,4d_system,OPEN_WORK,false,2,3,5,7.0,open,4d_system/.env
