branch,head12,fully_merged_into_main,last_commit_date,commits_ahead_of_main,commits_behind_main,class
codex/executor-safety-20260915,e5c44850c4a4,NO,2026-09-17,213,256,active-window
landing/release-p0-20260902,2c5b99baa6dd,NO,2026-09-17,10,0,active-window
port/110b-send-path-tests-20260917,92ab548a8447,NO,2026-09-17,1,0,active-window
receipts/durability-snapshot-20260916,503515b611fe,NO,2026-09-17,213,256,active-window
feature/j-draft,951bfb954ddc,NO,2026-09-16,1,0,active-window
rootfix/phase1-rca-20260916,bb286c028e2c,NO,2026-09-16,11,84,active-window
origin,dba9971a8026,yes,2026-09-15,0,-,active-window
cursor/taskenvelope-system-hardening-de45,638aed236a65,NO,2026-09-15,4,18,active-window
main,dba9971a8026,yes,2026-09-15,0,-,active-window
feature/call-log,a286b6bf2452,NO,2026-09-14,1,24,idle
fix/enrichment-bugs-and-digest-regex,effc8308b6a8,NO,2026-09-14,1,34,idle
fix/accounts-100-cap,d599fc61e819,NO,2026-09-13,6,65,idle
repair/ziman-cycle-4-readiness,0fe56ca4dcd4,NO,2026-09-10,2,35,idle
cursor/painting-public-lead-form-01b4,88f13c70dbcb,NO,2026-09-09,2,36,idle
docs/octopus-os-incidents-20260902,bf46e4aabc69,NO,2026-09-09,126,77,idle
feat/leads-sync-final,f50e480602bf,NO,2026-09-09,3,46,idle
feature/b2b-discovery-cleanup,107aa80a2a3d,NO,2026-09-09,6,36,idle
feature/log-outcome,5fd3ee173f98,NO,2026-09-09,5,46,idle
cursor/event-envelope-local-crdt-3830,0bc6507ca1e4,NO,2026-09-08,4,47,idle
docs/adr-f2-counter-canonical,d30268a6ee2b,NO,2026-09-08,6,48,idle
feature/digest-mobile-priority,533f2aeb2990,NO,2026-09-08,4,46,idle
fix/opslib-import-boundary,5e3254f77d69,NO,2026-09-08,2,49,idle
rescue/wo-align-20260906,c7e664621fa5,NO,2026-09-07,8,61,idle
feat/register-strata-hub-source,e5c24537d768,NO,2026-09-06,4,69,idle
fix/digest-direct-variants,704a5f6ae8e9,NO,2026-09-06,5,69,idle
feat/leads-master-73,38b8c0b4400d,NO,2026-09-05,6,80,idle
rescue/main-board-integ-20260904,a9ee26fa351f,NO,2026-09-05,8,81,idle
auto/gap-065-1788449777,c02ac0e0deb1,NO,2026-09-04,1,96,idle
auto/gap-065-1788450126,238928524089,NO,2026-09-04,1,96,idle
auto/gap-065-1788450216,e76dcf9ccfaa,NO,2026-09-04,2,95,idle
docs/shipping-policy-20260904,f1bb9f89761b,NO,2026-09-04,1,84,idle
feat/110b-capability-token-20260903,eb5cb60c997a,NO,2026-09-04,9,90,idle
feat/brainwake-structured-v2,289c2e9dedc1,NO,2026-09-04,3,86,idle
feat/cognitive-wake-p3-20260904,790e2adbf004,NO,2026-09-04,1,94,idle
feat/gap-066-brain-schema-20260904,63daee773fdb,NO,2026-09-04,5,85,idle
feat/gap-194-win-lf-20260904,06a285442518,NO,2026-09-04,7,84,idle
feat/glass-runner-20260903,e1eaf8ce01c2,NO,2026-09-04,3,97,idle
feat/leads-batch-13,ceff71d89bf3,NO,2026-09-04,4,92,idle
feat/m5-owner-release-20260904,c14ffd02a144,NO,2026-09-04,2,91,idle
feat/p1-horizon-cutoff-20260904,2120dc4759c4,NO,2026-09-04,2,84,idle
feat/p1-task-bind-20260904,fcbeac2ba054,NO,2026-09-04,3,84,idle
feat/p1-version-compat-20260904,73cf9fefe011,NO,2026-09-04,2,84,idle
feat/reply-queue-bridge-20260904,b396853f4af8,NO,2026-09-04,2,88,idle
feat/shopify-connector-register-20260904,f803e567e483,NO,2026-09-04,1,89,idle
fix/debug-sweep-20260904,db811e22cd1b,NO,2026-09-04,2,96,idle
fix/doctor-pulse-precision-20260903,0c788099cc5d,NO,2026-09-04,3,92,idle
audit/138-20260903,644725d1d58e,NO,2026-09-03,4,127,idle
cursor/bc-6b341e92-ac14-42eb-ac6a-f54617c532af-fe8c,ff6d713a4313,NO,2026-09-03,1,105,idle
cursor/d27-unlock-ea6b,54f04e5a57cd,NO,2026-09-03,9,165,idle
cursor/d28-edge-runbook-ea6b,f93019f6bb2c,NO,2026-09-03,22,161,idle
cursor/taskenvelope-system-hardening-8bfc,f8d28a74b77e,NO,2026-09-03,2,96,idle
cursor/taskenvelope-system-hardening-c14b,b766bd54b303,NO,2026-09-03,7,153,idle
docs/local-architecture-map-20260903,2eee3ffbc8c2,NO,2026-09-03,2,104,idle
docs/season-concepts-20260903,0e8feeb59057,NO,2026-09-03,2,104,idle
docs/skill-business-legs-wiring-2026-09-03,dfc67e771f5f,NO,2026-09-03,2,104,idle
feat/add-woolworths-lead,3bbbb311518d,NO,2026-09-03,1,105,idle
feat/autonomous-source-registry-20260903,a25301c607c4,NO,2026-09-03,5,127,idle
feat/board-doctor-20260903,36485bfcef31,NO,2026-09-03,3,127,idle
feat/doctor-pulse-20260903,0a21bc3fd56b,NO,2026-09-03,3,101,idle
feat/external-witness-20260903,e40b06d338c4,NO,2026-09-03,5,127,idle
feat/f1-contract-20260903,8292804d2ba7,NO,2026-09-03,3,104,idle
feat/gov-pack-20260903,a9c4169ebfaa,NO,2026-09-03,4,127,idle
feat/learning-feeder-20260903,95c5f8d73fd2,NO,2026-09-03,3,101,idle
feat/mega-index-20260903,6e996ab10952,NO,2026-09-03,9,133,idle
feat/owner-absent-20260903,3d3c82c37595,NO,2026-09-03,5,127,idle
feat/p1-envelope-deadline-mint-20260902,77472613b904,NO,2026-09-03,6,151,idle
feat/p1-load-invariants-20260902,9b89db344900,NO,2026-09-03,6,152,idle
feat/p1-phase-wall-20260902,8d5068d00098,NO,2026-09-03,2,116,idle
feat/telegram-glass-20260903,75e09c61ec13,NO,2026-09-03,3,160,idle
feat/vault-witness-20260903,dd77576c2cbf,NO,2026-09-03,4,127,idle
feat/ziman-browser-harvester-20260903,8873a0e626b0,NO,2026-09-03,5,127,idle
fix/buysw-bridge-v03,2aac8f3312e9,NO,2026-09-03,2,150,idle
fix/doctor-oneshot-classification-20260903,537171c4482a,NO,2026-09-03,1,105,idle
fix/economy-bugbot-3-20260903,efc47ab83f72,NO,2026-09-03,4,155,idle
fix/env-independent-tests-20260903,10de2e13f589,NO,2026-09-03,1,118,idle
fix/gate-not-applicable-neutral-20260903,1507461c1dfd,NO,2026-09-03,3,158,idle
fix/heartbeat-live-cap-display-20260903,4e429034c1bf,NO,2026-09-03,2,154,idle
fix/r0-heartbeat-dep-20260903,65eefbd84d14,NO,2026-09-03,3,156,idle
fix/r0-quote-closure-20260903,fb909887bffe,NO,2026-09-03,5,159,idle
fix/remove-inert-wire-flag-20260903,50fcd669eb55,NO,2026-09-03,4,131,idle
fix/self-model-real-services-20260903,713918665dc1,NO,2026-09-03,3,157,idle
gov/v6-two-reviewer-rule-20260903,f7ff2ddad44a,NO,2026-09-03,3,163,idle
ofn/wire,3ad3c07a7ec4,NO,2026-09-03,6,256,idle
release/p0,d2f805fc514f,NO,2026-09-03,12,183,idle
chore/dead-source-labels-20260902,0a5de4fed1fc,NO,2026-09-02,3,171,idle
cursor/pr-approval-agent-logic-a806,4ee1d65b5445,NO,2026-09-02,3,154,idle
docs/octopus-os-pack-20260902,7337ddd9bcb5,NO,2026-09-02,1,181,idle
docs/sanitize-lan-ips-20260902,00e9b9150e55,NO,2026-09-02,2,172,idle
docs/sanitize-round2-20260902,32c212bbbcbc,NO,2026-09-02,2,167,idle
