root,role,git,branch,head12,remote_origin,dirty_entries,repo_mtime,recorded_utc
F:\.obsidian,aux,-,,,,,2026-08-30,2026-09-17T01:34:15Z
F:\.zcode,aux,-,,,,,2026-07-17,2026-09-17T01:34:15Z
F:\4d_system,aux,-,,,,,2026-07-13,2026-09-17T01:34:15Z
F:\Docker,aux,-,,,,,2026-09-04,2026-09-17T01:34:15Z
F:\OCTOPUS-SURVIVAL-BACKUP-2026-08-19,aux,-,,,,,2026-08-19,2026-09-17T01:34:15Z
F:\_______Black Box,aux,git,master,48bd97585fda,,0,2026-09-17,2026-09-17T01:34:15Z
F:\_octopus-reconcile-20260830,aux,-,,,,,2026-08-30,2026-09-17T01:34:15Z
F:\_octopus-scan-20260830,aux,-,,,,,2026-08-30,2026-09-17T01:34:15Z
F:\_ops,aux,-,,,,,2026-07-19,2026-09-17T01:34:15Z
F:\backup,vault-canonical,git,rescue/octopus-live-tree-20260821,0effbf18e703,,1471,2026-09-17,2026-09-17T01:34:15Z
F:\backup_snapshots,aux,-,,,,,2026-07-16,2026-09-17T01:34:15Z
F:\claude-export,aux,-,,,,,2026-07-17,2026-09-17T01:34:15Z
F:\hardware-handoff-review-20260915,aux,git,codex/hardware-handoff-review-20260915,1eb5b1010a40,,1,2026-09-15,2026-09-17T01:34:15Z
F:\home,aux,-,,,,,2026-09-13,2026-09-17T01:34:15Z
F:\kre-out,aux,-,,,,,2026-08-03,2026-09-17T01:34:15Z
F:\nonexistent,aux,-,,,,,2026-08-16,2026-09-17T01:34:15Z
F:\octo-exec,aux,-,,,,,2026-09-05,2026-09-17T01:34:15Z
F:\octopus-body-adaptation-next-20260915,aux,git,codex/body-adaptation-next-20260915,1eb5b1010a40,,1,2026-09-15,2026-09-17T01:34:15Z
F:\octopus-campaign-20260830,aux,-,,,,,2026-09-13,2026-09-17T01:34:15Z
