board_type,serial,mac,claimed_location,powered_on
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
Orange Pi 5 Pro,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
ESP32,UNSTATED,UNSTATED,Sydney,false
