mode,seed,gen,evals,new_cells,admissions,surviving_offspring,reused_parent_ids,n_elites,coverage,center_free_coverage,n_center_free,n_boundary_elites,qd_score,normalized_qd,mean_fitness,max_fitness,bd_entropy,bd_spread
full,11,0,256,178,210,178,0,178,0.04345703125,0.046914269757051104,3581,10,75.02279881236197,0.01831611299129931,0.42147639782225826,0.9442114033899306,4.217950045151372,0.4173653001073394
full,11,1,352,50,68,65,109,228,0.0556640625,0.06031834683049427,3581,12,100.92386944269954,0.024639616563159068,0.44264855018727867,0.9442114033899306,4.325164361354811,0.42296721350946576
full,11,2,448,54,71,66,119,282,0.06884765625,0.07344317229824071,3581,19,128.25998369680164,0.03131347258222696,0.45482263722270083,0.9442114033899306,4.466421257475435,0.42271673226166684
full,11,3,544,49,73,71,136,331,0.080810546875,0.08628874616029042,3581,22,156.23705238054157,0.03814381161634316,0.47201526398955157,0.9442114033899306,4.536548592772828,0.42098558977368195
full,11,4,640,42,59,57,127,373,0.091064453125,0.09773806199385647,3581,23,179.36411755405936,0.043790067762221524,0.4808689478661109,0.9442114033899306,4.59157058010057,0.4261781814228098
full,11,5,736,38,62,61,141,411,0.100341796875,0.10695336498184864,3581,28,201.55703393760513,0.04920826023867313,0.4904064086073117,0.9442114033899306,4.676463672038338,0.439239723777862
full,11,6,832,33,56,54,146,444,0.1083984375,0.11561016475844736,3581,30,224.05428730818358,0.054700753737349506,0.5046267732166296,0.948450005989037,4.72936684471766,0.4371963794433464
full,11,7,928,36,63,60,146,480,0.1171875,0.12426696453504607,3581,35,248.91585445014644,0.06077047227786778,0.5185746967711384,0.948450005989037,4.821583088451724,0.4388674869991257
full,11,8,1024,26,54,53,149,506,0.12353515625,0.13068975146607092,3581,38,267.931288347495,0.06541291219421265,0.5295084749950494,0.948450005989037,4.864496258528365,0.4493953317873095
full,11,9,1120,27,50,48,154,533,0.130126953125,0.13739179000279253,3581,41,287.2242010480487,0.07012309595899627,0.5388821783265454,0.948450005989037,4.888665433651728,0.4439075894862001
full,11,10,1216,31,55,55,155,564,0.1376953125,0.14604858977939122,3581,41,311.1401775864718,0.07596195741857222,0.5516669815362975,0.9712076380494099,4.920393618211714,0.4426652324767987
full,11,11,1312,22,45,45,148,586,0.14306640625,0.15135437028762916,3581,44,329.3178682053031,0.08039987016731033,0.5619758843093909,0.9712076380494099,4.94488563350649,0.452199237407854
full,11,12,1408,23,50,49,157,609,0.148681640625,0.15693940240156382,3581,47,347.04684993610175,0.08472823484768109,0.5698634645913001,0.9712076380494099,4.974782623020943,0.44698470561946824
full,11,13,1504,25,41,40,148,634,0.15478515625,0.16392069254398212,3581,47,363.84129884328166,0.08882844210041056,0.5738821748316746,0.9712076380494099,5.004364473790327,0.4641136466165851
