repository,branch,head_sha,protected
ari-OCTOPUS/ofn-node,archive/board180-unprotected-20260830,c6d6a47bbfa40fbbbe425e3b1b88c8befcd89150,false
ari-OCTOPUS/ofn-node,audit/138-20260903,644725d1d58e979ce4cc400e097b2ee5b2ef566b,false
ari-OCTOPUS/ofn-node,audit/cursor-20260828,d94c42cb15d660f30348fc0400e13eeef4636523,false
ari-OCTOPUS/ofn-node,audit/senior-auditor-20260828-138,f09681ad315f575458506c0148ff12b825f8072f,false
ari-OCTOPUS/ofn-node,audit/zcode-20260828,678975bb43c3ab688a1adea4a1f0cb6f99fd4b6a,false
ari-OCTOPUS/ofn-node,auto/gap-065-1788449777,c02ac0e0deb1c4e59219ab372e6a9ca91cacab90,false
ari-OCTOPUS/ofn-node,auto/gap-065-1788450126,238928524089e789a1603ff9da8ecf11a68437a7,false
ari-OCTOPUS/ofn-node,auto/gap-065-1788450216,e76dcf9ccfaa35000535f29010b83bab45ca042c,false
ari-OCTOPUS/ofn-node,backup/board138-20260830,c1969bce5384f3371b916470299c991627c3d63c,false
ari-OCTOPUS/ofn-node,backup/board180-20260830,28209effa84af68a85ab60329c77dca81c6cea00,false
ari-OCTOPUS/ofn-node,backup/board182-20260830,294d51c1e01d999f55511d6b3bb038fd41ce9918,false
ari-OCTOPUS/ofn-node,backup/hypno-fugu-mini-20260830,0f225571d16ebc9b19e10683c51b5c86313bf4d1,false
ari-OCTOPUS/ofn-node,chore/dead-source-labels-20260902,0a5de4fed1fc2250327ba34ebcf7451e252f97c1,false
ari-OCTOPUS/ofn-node,chore/untrack-evidence-inbox-20260830,836f7bb1300d86d0fa6393ecaf12dbede6768521,false
ari-OCTOPUS/ofn-node,chore/untrack-runtime-artifacts-20260830,db6b0ec2d5124f593d19d23d16a49d4b8d5e27b5,false
ari-OCTOPUS/ofn-node,codex/executor-safety-20260915,e5c44850c4a4cd9e04030f96656b074a7bf8242b,false
ari-OCTOPUS/ofn-node,cursor/bc-6b341e92-ac14-42eb-ac6a-f54617c532af-fe8c,ff6d713a43131bff8b59715c77c88475efa43ca4,false
ari-OCTOPUS/ofn-node,cursor/d27-unlock-ea6b,54f04e5a57cdc8b6101bdc07c103dda9086fd8a8,false
ari-OCTOPUS/ofn-node,cursor/d28-edge-runbook-ea6b,f93019f6bb2c4db855b9e4a61d79911038274361,false
