path,bytes,git,classification_note
.env,2817,untracked,secret_risk_path_name_only
.env.bak-moved-README.txt,284,untracked,secret_risk_path_name_only
_ops/OCTOPUS.env,291,untracked,secret_risk_path_name_only
_ops/OCTOPUS.env.baks-moved-README.txt,260,untracked,secret_risk_path_name_only
_ops/seed_beat.py,2226,tracked,secret_risk_path_name_only
_ops/token_meter.py,15254,tracked,secret_risk_path_name_only
_ops/tests/test_cb_token_legmiss.py,14362,tracked,secret_risk_path_name_only
_ops/tests/test_every_limb_loads_its_credentials.py,11985,tracked,secret_risk_path_name_only
_ops/tests/test_mail_credentials.py,10836,tracked,secret_risk_path_name_only
_ops/tests/test_token_meter.py,11161,tracked,secret_risk_path_name_only
_ops/tests/_flaky/test_cb_token_legmiss.py.txt,1668,untracked,secret_risk_path_name_only
_ops/tests/_flaky/test_token_meter.py.txt,878,untracked,secret_risk_path_name_only
_ops/telegram_center/callback_token.py,4210,tracked,secret_risk_path_name_only
_ops/telegram_center/__pycache__/callback_token.cpython-313.pyc,4644,untracked,secret_risk_path_name_only
_ops/state/seed/beat-latest.json,249,untracked,secret_risk_path_name_only
_ops/state/board_cp/tls/cert.pem,1196,untracked,secret_risk_path_name_only
_ops/state/board_cp/tls/key.pem,1732,untracked,secret_risk_path_name_only
_ops/seed/canary.py,2649,tracked,secret_risk_path_name_only
_ops/seed/context_assembler.py,11641,tracked,secret_risk_path_name_only
_ops/seed/evolution_gate.py,12069,tracked,secret_risk_path_name_only
_ops/seed/octopus_reader.py,5572,tracked,secret_risk_path_name_only
_ops/seed/redteam_harness.py,11191,tracked,secret_risk_path_name_only
_ops/seed/__init__.py,78,tracked,secret_risk_path_name_only
_ops/secrets/brain.env,328,untracked,secret_risk_path_name_only
_ops/secrets/ziman-maliheh/README-MOVED-20260907.txt,311,untracked,secret_risk_path_name_only
_ops/secrets/sakana/.gitignore,22,untracked,secret_risk_path_name_only
_ops/secrets/sakana/README.md,112,untracked,secret_risk_path_name_only
_ops/secrets/sakana/sakana.env,229,untracked,secret_risk_path_name_only
_ops/secrets/onlyfans/.gitignore,30,untracked,secret_risk_path_name_only
_ops/secrets/onlyfans/HOWTO-FILL.md,219,untracked,secret_risk_path_name_only
_ops/secrets/onlyfans/README.md,262,untracked,secret_risk_path_name_only
_ops/secrets/google-ga4/HOWTO-FILL.md,354,untracked,secret_risk_path_name_only
_ops/secrets/google-ga4/oauth-client.json,472,untracked,secret_risk_path_name_only
_ops/secrets/google-ga4/README.md,157,untracked,secret_risk_path_name_only
_ops/secrets/google-ga4/token.json,745,untracked,secret_risk_path_name_only
_ops/secrets/deepseek/.gitignore,24,untracked,secret_risk_path_name_only
_ops/secrets/deepseek/deepseek.env,99,untracked,secret_risk_path_name_only
_ops/secrets/deepseek/README.md,55,untracked,secret_risk_path_name_only
_ops/owner-signing/octopus-owner-ed25519-public.pem,116,untracked,secret_risk_path_name_only
_ops/owner-runbook/SIGN-PRE-REG-K9-THREE-SEED-2026-08-20.ps1,1803,tracked,secret_risk_path_name_only
_ops/outcomes/proposal_token.py,5400,tracked,secret_risk_path_name_only
_ops/OCTOPUS-FIX-START-CODEX-20260804-200015/03-SECRET-SCAN.md,1478,tracked,secret_risk_path_name_only
_ops/legs/mail_credentials.py,9279,untracked,secret_risk_path_name_only
_ops/identity/capability_token.py,10652,tracked,secret_risk_path_name_only
_build/lead-naghshi-portable/.env,2805,untracked,secret_risk_path_name_only
_build/lead-naghshi-portable/project/کاریابی/MOVED - 05_راهنمای_API_keys.md,549,untracked,secret_risk_path_name_only
_archive-binaries/Mining/Robo-data/robots/sentinel/wallet_tracker.py,10150,untracked,secret_risk_path_name_only
_archive-binaries/Mining/Mining-1/Mining Q/GUI Wallet.lnk,961,untracked,secret_risk_path_name_only
_archive-binaries/Mining/Mining-1/Mining Q/monero wallet.txt,134,untracked,secret_risk_path_name_only
_archive-binaries/Mining/Mining-1/Hcash/config.env,2009,untracked,secret_risk_path_name_only
_archive-binaries/Mining/Mining-1/Hcash/hacash_desktop_offline_wallet_2024_01_23_01_windows64.exe,13674496,untracked,secret_risk_path_name_only
_archive-binaries/Mining/Ai bots/sentinel/.env.template,1702,untracked,secret_risk_path_name_only
_archive-binaries/Mining/Ai bots/sentinel/wallet_tracker.py,10264,untracked,secret_risk_path_name_only
_archive-binaries/Lead-نقاشی/کاریابی/05_راهنمای_API_keys.md,7235,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/local-ai-packaged1/.env,7734,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/AIFarm-book2/fusion-mvp/.env,129,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/AIFarm-book1/fusion-mvp/.env,129,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/AIFarm-book/langar-pro/.env,272,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/AIFarm-book/langar/.env,79,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/AIFarm-book/fusion-mvp/.env,129,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/AI Farm/fusion-mvp/.env,129,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/AI Farm/AI-sume/langar-pro/.env,272,untracked,secret_risk_path_name_only
_archive-binaries/04 - Architect System/architect/AI Farm/AI-sume/langar/.env,79,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/painting-bot/.env.example,888,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.env,1017,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.env.example,707,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/SECRETS.md,3927,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/tests/test_secrets.py,1191,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/core/secrets.py,2159,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/yaml/tokens.py,2573,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/telegram/_passport/credentials.py,22908,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/pip/_vendor/pygments/token.py,6226,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/pip/_vendor/packaging/_tokenizer.py,5310,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/pip/_vendor/certifi/cacert.pem,290057,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/Cryptodome/SelfTest/Protocol/test_SecretSharing.py,10488,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/Cryptodome/Protocol/SecretSharing.py,9435,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/Cryptodome/Protocol/SecretSharing.pyi,820,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/certifi/cacert.pem,234354,untracked,secret_risk_path_name_only
_Archive/_launchpad/second-brain-live/control-brain/.venv/Lib/site-packages/argon2/_password_hasher.py,8839,untracked,secret_risk_path_name_only
_Archive/_code/Ziman Galerry/control-brain/.env.example,707,untracked,secret_risk_path_name_only
_Archive/_code/Ziman Galerry/control-brain/SECRETS.md,3927,untracked,secret_risk_path_name_only
_Archive/_code/Ziman Galerry/control-brain/tests/test_secrets.py,1191,untracked,secret_risk_path_name_only
_Archive/_code/Ziman Galerry/control-brain/core/secrets.py,2159,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/.env.example,297,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/Robo-data/.env.example,989,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/Robo-data/MOVED - .env.md,498,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/Robo-data/robots/sentinel/.env.example,1059,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/Ai bots/sentinel/.env.example,1673,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/Ai bots/sentinel/.env.template,1702,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/Ai bots/sentinel/MOVED - .env.md,535,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/Ai bots/QuantumAlphaBot/.env.example,1588,untracked,secret_risk_path_name_only
_Archive/_code/Mining/02 - Code/Ai bots/QuantumAlphaBot/MOVED - .env.md,705,untracked,secret_risk_path_name_only
_Archive/_code/Lead-نقاشی/کاریابی/bot/.env.example,888,untracked,secret_risk_path_name_only
_Archive/_code/Lead-نقاشی/AiFarm-Lead/infra-control/.env.example,1391,untracked,secret_risk_path_name_only
_Archive/_code/Lead-نقاشی/AiFarm-Lead/Ai farm- sister Painting/brushline/60_code/.env.example,2476,untracked,secret_risk_path_name_only
