draft_id,position,media_ref,resolved_media_id,collection_id,status
unlock-shot-0001,0,studio/shot-0001/0-1600.jpg,shot-0001,album-unlock-20260822,draft
batch-shot-0002,0,studio/shot-0002/0-1600.jpg,shot-0002,album-unlock-20260822,draft
unlock-shot-0002,0,studio/shot-0002/0-1600.jpg,shot-0002,album-unlock-20260822,draft
test-shot-0003,0,studio/shot-0003/0-1600.jpg,shot-0003,album-unlock-20260822,draft
batch-shot-0004,0,studio/shot-0004/0-1600.jpg,shot-0004,album-unlock-20260822,draft
batch-shot-0005,0,studio/shot-0005/0-1600.jpg,shot-0005,album-unlock-20260822,draft
batch-shot-0006,0,studio/shot-0006/0-1600.jpg,shot-0006,album-unlock-20260822,draft
batch-shot-0007,0,studio/shot-0007/0-1600.jpg,shot-0007,album-unlock-20260822,draft
batch-shot-0008,0,studio/shot-0008/0-1600.jpg,shot-0008,album-unlock-20260822,draft
batch-shot-0009,0,studio/shot-0009/0-1600.jpg,shot-0009,album-unlock-20260822,draft
batch-shot-0010,0,studio/shot-0010/0-1600.jpg,shot-0010,album-unlock-20260822,draft
batch-shot-0011,0,studio/shot-0011/0-1600.jpg,shot-0011,album-unlock-20260822,draft
batch-shot-0012,0,studio/shot-0012/0-1600.jpg,shot-0012,album-unlock-20260822,draft
batch-shot-0013,0,studio/shot-0013/0-1600.jpg,shot-0013,album-unlock-20260822,draft
batch-shot-0014,0,studio/shot-0014/0-1600.jpg,shot-0014,album-unlock-20260822,draft
batch-shot-0015,0,studio/shot-0015/0-1600.jpg,shot-0015,album-unlock-20260822,draft
batch-shot-0016,0,studio/shot-0016/0-1600.jpg,shot-0016,album-unlock-20260822,draft
batch-shot-0017,0,studio/shot-0017/0-1600.jpg,shot-0017,album-unlock-20260822,draft
batch-shot-0018,0,studio/shot-0018/0-1600.jpg,shot-0018,album-unlock-20260822,draft
batch-shot-0019,0,studio/shot-0019/0-1600.jpg,shot-0019,album-unlock-20260822,draft
batch-shot-0020,0,studio/shot-0020/0-1600.jpg,shot-0020,album-unlock-20260822,draft
batch-shot-0021,0,studio/shot-0021/0-1600.jpg,shot-0021,album-unlock-20260822,draft
batch-shot-0022,0,studio/shot-0022/0-1600.jpg,shot-0022,album-unlock-20260822,draft
