media_id,collection_id,attest_bind_collection,via,mime,byte_size,has_original,added_at,archived_at,rating,taken_at,taken_source,category,path_rel,path_file_count
shot-0001,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,66189,1,1785869253,,5,,,,studio/shot-0001/0-1600.jpg;studio/shot-0001/0-320.jpg;studio/shot-0001/0-original.jpg,3
shot-0002,album-0002,album-0002,collection_id=album-0002|draft_media:album-unlock-20260822,image/jpeg,162171,1,1786003238,,0,1783075331,file,,studio/shot-0002/0-1600.jpg;studio/shot-0002/0-320.jpg;studio/shot-0002/0-original.jpg,3
shot-0003,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,469590,1,1786065755,,0,1782578586,file,,studio/shot-0003/0-1600.jpg;studio/shot-0003/0-320.jpg;studio/shot-0003/0-original.jpg,3
shot-0004,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,454269,1,1786112855,,0,1784383619,file,,studio/shot-0004/0-1600.jpg;studio/shot-0004/0-320.jpg;studio/shot-0004/0-original.jpg,3
shot-0005,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,279831,1,1786112856,,0,1784383154,file,,studio/shot-0005/0-1600.jpg;studio/shot-0005/0-320.jpg;studio/shot-0005/0-original.jpg,3
shot-0006,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,268734,1,1786112857,,0,1784383150,file,,studio/shot-0006/0-1600.jpg;studio/shot-0006/0-320.jpg;studio/shot-0006/0-original.jpg,3
shot-0007,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,247362,1,1786112888,,0,1785841779,file,,studio/shot-0007/0-1600.jpg;studio/shot-0007/0-320.jpg;studio/shot-0007/0-original.jpg,3
shot-0008,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,214710,1,1786112888,,0,1785841803,file,,studio/shot-0008/0-1600.jpg;studio/shot-0008/0-320.jpg;studio/shot-0008/0-original.jpg,3
shot-0009,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,258702,1,1786112889,,0,1785841826,file,,studio/shot-0009/0-1600.jpg;studio/shot-0009/0-320.jpg;studio/shot-0009/0-original.jpg,3
shot-0010,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,293985,1,1786112890,,0,1785841723,file,,studio/shot-0010/0-1600.jpg;studio/shot-0010/0-320.jpg;studio/shot-0010/0-original.jpg,3
shot-0011,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,290361,1,1786112891,,0,1785841738,file,,studio/shot-0011/0-1600.jpg;studio/shot-0011/0-320.jpg;studio/shot-0011/0-original.jpg,3
shot-0012,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,297273,1,1786112892,,0,1785841743,file,,studio/shot-0012/0-1600.jpg;studio/shot-0012/0-320.jpg;studio/shot-0012/0-original.jpg,3
shot-0013,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,810036,1,1786112898,,0,1785606644,file,,studio/shot-0013/0-1600.jpg;studio/shot-0013/0-320.jpg;studio/shot-0013/0-original.jpg,3
shot-0014,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,250737,1,1786112899,,0,1785606564,file,,studio/shot-0014/0-1600.jpg;studio/shot-0014/0-320.jpg;studio/shot-0014/0-original.jpg,3
shot-0015,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,318063,1,1786112900,,0,1785606555,file,,studio/shot-0015/0-1600.jpg;studio/shot-0015/0-320.jpg;studio/shot-0015/0-original.jpg,3
shot-0016,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,375312,1,1786112918,,0,1785841619,file,,studio/shot-0016/0-1600.jpg;studio/shot-0016/0-320.jpg;studio/shot-0016/0-original.jpg,3
shot-0017,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,293985,1,1786112919,,0,1785841723,file,,studio/shot-0017/0-1600.jpg;studio/shot-0017/0-320.jpg;studio/shot-0017/0-original.jpg,3
shot-0018,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,258702,1,1786112920,,0,1785841826,file,,studio/shot-0018/0-1600.jpg;studio/shot-0018/0-320.jpg;studio/shot-0018/0-original.jpg,3
shot-0019,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,147510,1,1786112920,,0,1785842035,file,,studio/shot-0019/0-1600.jpg;studio/shot-0019/0-320.jpg;studio/shot-0019/0-original.jpg,3
shot-0020,album-0002,album-0002,collection_id=album-0002|draft_media:album-unlock-20260822,image/jpeg,588339,1,1786112921,,0,1785843409,file,,studio/shot-0020/0-1600.jpg;studio/shot-0020/0-320.jpg;studio/shot-0020/0-original.jpg,3
shot-0021,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,627885,1,1786112923,,0,1785843392,file,,studio/shot-0021/0-1600.jpg;studio/shot-0021/0-320.jpg;studio/shot-0021/0-original.jpg,3
shot-0022,,album-unlock-20260822,draft_media:album-unlock-20260822,image/jpeg,687927,1,1786112929,,0,1785606661,file,,studio/shot-0022/0-1600.jpg;studio/shot-0022/0-320.jpg;studio/shot-0022/0-original.jpg,3
