
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1952
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING       5204
  TCP    0.0.0.0:1027           0.0.0.0:0              LISTENING       1592
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3653           0.0.0.0:0              LISTENING       13644
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10776
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       4060
  TCP    0.0.0.0:8801           0.0.0.0:0              LISTENING       23464
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1652
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1476
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       3116
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3548
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4652
  TCP    127.0.0.1:1028         127.0.0.1:2021         ESTABLISHED     3928
  TCP    127.0.0.1:1029         127.0.0.1:2022         ESTABLISHED     3928
  TCP    127.0.0.1:1031         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1034         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1036         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1038         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1040         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1043         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1045         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1048         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1051         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1053         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1055         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1058         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1060         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1064         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1070         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1076         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1080         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1081         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1083         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1087         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1090         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1091         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1093         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1097         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1098         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1101         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1102         127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:1495         0.0.0.0:0              LISTENING       9796
  TCP    127.0.0.1:1495         127.0.0.1:14816        TIME_WAIT       0
  TCP    127.0.0.1:1495         127.0.0.1:14817        TIME_WAIT       0
  TCP    127.0.0.1:1495         127.0.0.1:14819        TIME_WAIT       0
  TCP    127.0.0.1:1495         127.0.0.1:14820        TIME_WAIT       0
  TCP    127.0.0.1:1495         127.0.0.1:14821        TIME_WAIT       0
  TCP    127.0.0.1:1495         127.0.0.1:14860        TIME_WAIT       0
  TCP    127.0.0.1:2020         0.0.0.0:0              LISTENING       3928
  TCP    127.0.0.1:2021         0.0.0.0:0              LISTENING       5076
  TCP    127.0.0.1:2021         127.0.0.1:1028         ESTABLISHED     5076
  TCP    127.0.0.1:2022         0.0.0.0:0              LISTENING       5112
  TCP    127.0.0.1:2022         127.0.0.1:1029         ESTABLISHED     5112
  TCP    127.0.0.1:2115         127.0.0.1:2116         ESTABLISHED     23940
  TCP    127.0.0.1:2116         127.0.0.1:2115         ESTABLISHED     23940
  TCP    127.0.0.1:2125         127.0.0.1:2126         ESTABLISHED     33232
  TCP    127.0.0.1:2126         127.0.0.1:2125         ESTABLISHED     33232
  TCP    127.0.0.1:2241         127.0.0.1:4507         ESTABLISHED     23964
  TCP    127.0.0.1:2242         127.0.0.1:4502         ESTABLISHED     11328
  TCP    127.0.0.1:3373         127.0.0.1:3374         ESTABLISHED     3928
  TCP    127.0.0.1:3374         127.0.0.1:3373         ESTABLISHED     3928
  TCP    127.0.0.1:4501         0.0.0.0:0              LISTENING       11328
  TCP    127.0.0.1:4502         0.0.0.0:0              LISTENING       21168
  TCP    127.0.0.1:4502         127.0.0.1:1086         TIME_WAIT       0
  TCP    127.0.0.1:4502         127.0.0.1:2242         ESTABLISHED     21168
  TCP    127.0.0.1:4502         127.0.0.1:11866        ESTABLISHED     21168
  TCP    127.0.0.1:4502         127.0.0.1:14908        TIME_WAIT       0
  TCP    127.0.0.1:4507         0.0.0.0:0              LISTENING       11328
  TCP    127.0.0.1:4507         127.0.0.1:2241         ESTABLISHED     11328
  TCP    127.0.0.1:4507         127.0.0.1:11865        ESTABLISHED     11328
  TCP    127.0.0.1:4508         0.0.0.0:0              LISTENING       11328
  TCP    127.0.0.1:4508         127.0.0.1:1085         TIME_WAIT       0
  TCP    127.0.0.1:4508         127.0.0.1:14907        TIME_WAIT       0
  TCP    127.0.0.1:4857         0.0.0.0:0              LISTENING       10416
  TCP    127.0.0.1:5979         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:8222         0.0.0.0:0              LISTENING       11328
  TCP    127.0.0.1:8771         0.0.0.0:0              LISTENING       29028
  TCP    127.0.0.1:8772         0.0.0.0:0              LISTENING       11144
  TCP    127.0.0.1:8773         0.0.0.0:0              LISTENING       7852
  TCP    127.0.0.1:8774         0.0.0.0:0              LISTENING       19076
  TCP    127.0.0.1:8776         0.0.0.0:0              LISTENING       11724
  TCP    127.0.0.1:8777         0.0.0.0:0              LISTENING       29028
  TCP    127.0.0.1:11434        0.0.0.0:0              LISTENING       20192
  TCP    127.0.0.1:11434        127.0.0.1:14813        TIME_WAIT       0
  TCP    127.0.0.1:11865        127.0.0.1:4507         ESTABLISHED     23964
  TCP    127.0.0.1:11866        127.0.0.1:4502         ESTABLISHED     11328
  TCP    127.0.0.1:14753        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14755        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14767        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14769        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14771        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14774        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14779        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14781        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14784        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14789        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14801        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14807        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14809        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14819        127.0.0.1:1495         TIME_WAIT       0
  TCP    127.0.0.1:14823        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14826        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14829        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14832        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14833        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14844        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14845        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14850        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14853        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14858        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14859        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14862        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14864        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14867        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14870        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14871        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14873        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14885        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14888        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14889        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14892        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14899        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14901        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14903        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14906        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14912        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14917        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14923        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14926        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14928        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14930        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14933        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14936        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14938        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14941        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14949        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14955        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14956        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14958        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14960        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14966        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14970        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14971        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14975        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14979        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14981        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14983        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14985        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14987        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14991        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:14997        127.0.0.1:48080        TIME_WAIT       0
  TCP    127.0.0.1:20241        0.0.0.0:0              LISTENING       17332
  TCP    127.0.0.1:48080        0.0.0.0:0              LISTENING       13644
  TCP    192.168.0.191:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.191:445      192.168.0.138:49124    ESTABLISHED     4
  TCP    192.168.0.191:1049     192.168.0.1:5500       TIME_WAIT       0
  TCP    192.168.0.191:1056     43.109.89.226:443      ESTABLISHED     29868
  TCP    192.168.0.191:1066     43.109.89.226:443      ESTABLISHED     29868
  TCP    192.168.0.191:1073     8.130.222.161:443      TIME_WAIT       0
  TCP    192.168.0.191:1103     149.154.166.110:443    ESTABLISHED     11724
  TCP    192.168.0.191:1104     149.154.166.110:443    ESTABLISHED     29028
  TCP    192.168.0.191:1111     8.130.222.175:443      SYN_SENT        14412
  TCP    192.168.0.191:1424     43.109.89.226:443      ESTABLISHED     28444
  TCP    192.168.0.191:1485     32.195.32.53:443       ESTABLISHED     23964
  TCP    192.168.0.191:2038     104.18.27.48:443       ESTABLISHED     7668
  TCP    192.168.0.191:2041     32.195.32.53:443       ESTABLISHED     23964
  TCP    192.168.0.191:2187     142.251.156.4:443      ESTABLISHED     23940
  TCP    192.168.0.191:2192     104.18.18.125:443      ESTABLISHED     23964
  TCP    192.168.0.191:2395     104.18.18.125:443      ESTABLISHED     12972
  TCP    192.168.0.191:2565     104.18.27.48:443       ESTABLISHED     7668
  TCP    192.168.0.191:2791     3.33.235.18:443        ESTABLISHED     3928
  TCP    192.168.0.191:4505     192.168.0.182:22       ESTABLISHED     21168
  TCP    192.168.0.191:5203     3.233.158.24:443       ESTABLISHED     7668
  TCP    192.168.0.191:7672     172.172.255.217:443    ESTABLISHED     5760
  TCP    192.168.0.191:8229     23.46.34.8:443         CLOSE_WAIT      11704
  TCP    192.168.0.191:8522     34.107.243.93:443      ESTABLISHED     23940
  TCP    192.168.0.191:8801     192.168.0.138:34118    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:34120    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:35152    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:35164    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:36116    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:38480    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:38488    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:39326    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:42664    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:42674    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:43442    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:43452    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:45380    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:45384    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:47242    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:47244    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:48914    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:48920    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:49342    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:49344    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:54778    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:54790    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:57060    TIME_WAIT       0
  TCP    192.168.0.191:8801     192.168.0.138:57066    TIME_WAIT       0
  TCP    192.168.0.191:9390     104.18.27.48:443       ESTABLISHED     7668
  TCP    192.168.0.191:9692     54.169.137.161:443     ESTABLISHED     12972
  TCP    192.168.0.191:10146    99.83.165.34:443       TIME_WAIT       0
  TCP    192.168.0.191:11070    32.195.32.53:443       ESTABLISHED     23964
  TCP    192.168.0.191:11548    32.195.32.53:443       ESTABLISHED     23964
  TCP    192.168.0.191:11637    20.42.65.88:443        TIME_WAIT       0
  TCP    192.168.0.191:11638    20.42.65.88:443        TIME_WAIT       0
  TCP    192.168.0.191:11675    34.36.133.15:443       TIME_WAIT       0
  TCP    192.168.0.191:14548    142.250.195.225:443    TIME_WAIT       0
  TCP    192.168.0.191:14604    142.250.183.33:443     TIME_WAIT       0
  TCP    192.168.0.191:14727    8.130.222.161:443      ESTABLISHED     29868
  TCP    192.168.0.191:14749    8.130.222.161:443      ESTABLISHED     29868
  TCP    192.168.0.191:14750    20.42.65.88:443        TIME_WAIT       0
  TCP    192.168.0.191:14751    20.42.65.88:443        TIME_WAIT       0
  TCP    192.168.0.191:14763    8.130.222.161:443      TIME_WAIT       0
  TCP    192.168.0.191:14764    192.168.0.1:5500       TIME_WAIT       0
  TCP    192.168.0.191:14766    203.219.197.80:443     TIME_WAIT       0
  TCP    192.168.0.191:14772    172.217.25.194:443     ESTABLISHED     23940
  TCP    192.168.0.191:14776    43.109.89.226:443      ESTABLISHED     29868
  TCP    192.168.0.191:14794    8.130.222.161:443      TIME_WAIT       0
  TCP    192.168.0.191:14808    43.168.224.173:443     TIME_WAIT       0
  TCP    192.168.0.191:14824    8.130.222.161:443      TIME_WAIT       0
  TCP    192.168.0.191:14835    43.168.224.173:443     TIME_WAIT       0
  TCP    192.168.0.191:14849    8.130.222.161:443      TIME_WAIT       0
  TCP    192.168.0.191:14852    20.190.142.167:443     ESTABLISHED     19352
  TCP    192.168.0.191:14855    23.206.224.24:80       TIME_WAIT       0
  TCP    192.168.0.191:14874    199.232.137.91:443     ESTABLISHED     23940
  TCP    192.168.0.191:14884    8.130.222.161:443      TIME_WAIT       0
  TCP    192.168.0.191:14891    43.168.224.173:443     TIME_WAIT       0
  TCP    192.168.0.191:14893    43.109.89.226:443      ESTABLISHED     29868
  TCP    192.168.0.191:14904    172.217.25.194:443     ESTABLISHED     23940
  TCP    192.168.0.191:14922    8.130.222.161:443      TIME_WAIT       0
  TCP    192.168.0.191:14931    142.250.183.46:443     ESTABLISHED     23940
  TCP    192.168.0.191:14950    8.130.222.161:443      TIME_WAIT       0
  TCP    192.168.0.191:14967    43.168.224.173:443     TIME_WAIT       0
  TCP    192.168.0.191:14999    8.130.222.161:443      TIME_WAIT       0
  TCP    [::]:135               [::]:0                 LISTENING       1952
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1025              [::]:0                 LISTENING       5204
  TCP    [::]:1027              [::]:0                 LISTENING       1592
  TCP    [::]:2869              [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       4060
  TCP    [::]:49664             [::]:0                 LISTENING       1652
  TCP    [::]:49665             [::]:0                 LISTENING       1476
  TCP    [::]:49666             [::]:0                 LISTENING       3116
  TCP    [::]:49667             [::]:0                 LISTENING       3548
  TCP    [::]:49668             [::]:0                 LISTENING       4652
  TCP    [::1]:1024             [::]:0                 LISTENING       5712
  TCP    [::1]:4502             [::]:0                 LISTENING       21168
  TCP    [::1]:8222             [::]:0                 LISTENING       11328
  TCP    [::1]:42050            [::]:0                 LISTENING       29288
  UDP    0.0.0.0:123            *:*                                    17016
  UDP    0.0.0.0:500            *:*                                    5140
  UDP    0.0.0.0:3544           *:*                                    5196
  UDP    0.0.0.0:3702           *:*                                    9772
  UDP    0.0.0.0:3702           *:*                                    9772
  UDP    0.0.0.0:4500           *:*                                    5140
  UDP    0.0.0.0:5050           *:*                                    10776
  UDP    0.0.0.0:5353           *:*                                    3092
  UDP    0.0.0.0:5355           *:*                                    3092
  UDP    0.0.0.0:50641          *:*                                    23940
  UDP    0.0.0.0:50651          *:*                                    9772
  UDP    0.0.0.0:55945          *:*                                    17332
  UDP    0.0.0.0:55969          *:*                                    17332
  UDP    0.0.0.0:55970          *:*                                    17332
  UDP    0.0.0.0:55971          *:*                                    17332
  UDP    0.0.0.0:60465          172.217.118.4:443                      8864
  UDP    0.0.0.0:64935          *:*                                    3092
  UDP    127.0.0.1:1900         *:*                                    6296
  UDP    127.0.0.1:49664        127.0.0.1:49664                        5196
  UDP    127.0.0.1:54613        *:*                                    6296
  UDP    192.168.0.191:137      *:*                                    4
  UDP    192.168.0.191:138      *:*                                    4
  UDP    192.168.0.191:1900     *:*                                    6296
  UDP    192.168.0.191:52805    *:*                                    5196
  UDP    192.168.0.191:54612    *:*                                    6296
  UDP    [::]:123               *:*                                    17016
  UDP    [::]:500               *:*                                    5140
  UDP    [::]:3702              *:*                                    9772
  UDP    [::]:3702              *:*                                    9772
  UDP    [::]:4500              *:*                                    5140
  UDP    [::]:5353              *:*                                    3092
  UDP    [::]:5355              *:*                                    3092
  UDP    [::]:50652             *:*                                    9772
  UDP    [::]:55945             *:*                                    17332
  UDP    [::]:55969             *:*                                    17332
  UDP    [::]:55970             *:*                                    17332
  UDP    [::]:55971             *:*                                    17332
  UDP    [::]:64935             *:*                                    3092
  UDP    [::1]:1900             *:*                                    6296
  UDP    [::1]:54611            *:*                                    6296
  UDP    [fe80::bca1:af07:c641:fc97%28]:1900  *:*                                    6296
  UDP    [fe80::bca1:af07:c641:fc97%28]:54610  *:*                                    6296
