# CryptoQuant Multi-Asset Export
# Generated: 2026-06-15T16:38:33.415Z
# Days: 365
# Assets: btc,eth,xrp,sol,ada,doge,ltc,trx,bch,etc,avax,dot,atom,matic,bnb,link,uni,aave,shib,usdt,usdc


# ₿ BTC · OHLCV
date,value
"2026-06-14","65704.89198147"
"2026-06-13","64377.52914129"
"2026-06-12","63541.96141069"
"2026-06-11","63616.14714654"
"2026-06-10","61453.70224814"
"2026-06-09","61690.57933418"
"2026-06-08","63070.70914846"
"2026-06-07","63308.63465389"
"2026-06-06","60929.71936069"
"2026-06-05","61032.7232343"
"2026-06-04","63811.8154736"
"2026-06-03","64049.75882243"
"2026-06-02","66673.59909886"
"2026-06-01","71341.08523908"
"2026-05-31","73698.77256162"
"2026-05-30","73772.19569653"
"2026-05-29","73366.9154551"
"2026-05-28","73584.07633761"
"2026-05-27","74328.46041828"
"2026-05-26","75829.80187621"
"2026-05-25","77254.56810425"
"2026-05-24","76984.65119704"
"2026-05-23","76690.8965702"
"2026-05-22","75447.90120172"
"2026-05-21","77589.2809923"
"2026-05-20","77475.08109272"
"2026-05-19","76762.50320131"
"2026-05-18","76952.73725592"
"2026-05-17","77404.85004224"
"2026-05-16","78103.65725344"
"2026-05-15","79064.75990428"
"2026-05-14","81068.44156523"
"2026-05-13","79276.86339293"
"2026-05-12","80474.63971949"
"2026-05-11","81716.78013205"
"2026-05-10","82196.05193439"
"2026-05-09","80656.58014626"
"2026-05-08","80195.17793707"
"2026-05-07","79987.94761464"
"2026-05-06","81429.40420146"
"2026-05-05","80874.22223305"
"2026-05-04","79843.74686663"
"2026-05-03","78555.43383487"
"2026-05-02","78675.50323744"
"2026-05-01","78217.67454989"
"2026-04-30","76305.64510886"
"2026-04-29","75750.60996198"
"2026-04-28","76323.46168247"
"2026-04-27","77358.32456909"
"2026-04-26","78665.11327836"
"2026-04-25","77637.55917083"
"2026-04-24","77434.91388672"
"2026-04-23","78276.08239002"
"2026-04-22","78184.79747534"
"2026-04-21","76343.58323281"
"2026-04-20","75849.18869777"
"2026-04-19","73820.18075541"
"2026-04-18","75726.70856293"
"2026-04-17","77089.24532754"
"2026-04-16","75158.4552495"
"2026-04-15","74819.31548826"
"2026-04-14","74174.7619413"
"2026-04-13","74436.37456409"
"2026-04-12","70748.2194532"
"2026-04-11","73063.2323216"
"2026-04-10","72978.83378653"
"2026-04-09","71784.72393948"
"2026-04-08","71079.97784349"
"2026-04-07","71910.13130412"
"2026-04-06","68845.65464762"
"2026-04-05","68997.14383252"
"2026-04-04","67287.39960797"
"2026-04-03","66955.37265796"
"2026-04-02","66882.43390159"
"2026-04-01","68080.57519211"
"2026-03-31","68218.30291115"
"2026-03-30","66737.99706849"
"2026-03-29","65964.86960794"
"2026-03-28","66325.48360928"
"2026-03-27","66384.33024908"
"2026-03-26","68774.04814792"
"2026-03-25","71306.69311124"
"2026-03-24","70535.38228893"
"2026-03-23","70897.11431106"
"2026-03-22","67844.19820024"
"2026-03-21","68910.41103275"
"2026-03-20","70504.66377246"
"2026-03-19","69920.31215717"
"2026-03-18","71243.9417515"
"2026-03-17","73924.97455657"
"2026-03-16","74883.08751945"
"2026-03-15","72821.72365585"
"2026-03-14","71224.98723712"
"2026-03-13","70935.92379182"
"2026-03-12","70553.60522389"
"2026-03-11","70205.33682574"
"2026-03-10","69953.0661318"
"2026-03-09","68440.98666417"
"2026-03-08","65973.6358311"
"2026-03-07","67251.61610573"
"2026-03-06","68111.48341705"
"2026-03-05","70893.79113516"
"2026-03-04","72674.91137888"
"2026-03-03","68335.17551511"
"2026-03-02","68827.6117187"
"2026-03-01","65785.94117174"
"2026-02-28","66978.95085713"
"2026-02-27","65905.61119791"
"2026-02-26","67484.88753371"
"2026-02-25","68013.17461181"
"2026-02-24","64100.85732873"
"2026-02-23","64633.32107571"
"2026-02-22","67620.80630979"
"2026-02-21","67952.51737671"
"2026-02-20","68007.15176896"
"2026-02-19","67041.8313424"
"2026-02-18","66423.90464444"
"2026-02-17","67477.37904716"
"2026-02-16","68858.87103767"
"2026-02-15","68795.73150408"
"2026-02-14","69784.04535504"
"2026-02-13","68813.94858678"
"2026-02-12","66264.41973997"
"2026-02-11","67047.97160372"
"2026-02-10","68825.55688792"
"2026-02-09","70148.8222536"
"2026-02-08","70284.65835102"
"2026-02-07","69249.35077291"
"2026-02-06","70544.00931161"
"2026-02-05","62809.25676686"
"2026-02-04","73007.17771268"
"2026-02-03","75682.79552254"
"2026-02-02","78668.1355478"
"2026-02-01","76956.78813499"
"2026-01-31","78718.77648132"
"2026-01-30","84121.93390286"
"2026-01-29","84658.63433858"
"2026-01-28","89163.57205957"
"2026-01-27","89144.23289692"
"2026-01-26","88284.65332251"
"2026-01-25","86602.03697532"
"2026-01-24","89121.02155169"
"2026-01-23","89634.37515427"
"2026-01-22","89506.70991969"
"2026-01-21","89365.56178613"
"2026-01-20","88312.03260215"
"2026-01-19","92563.4425495"
"2026-01-18","93636.85559688"
"2026-01-17","95108.57272262"
"2026-01-16","95495.82832709"
"2026-01-15","95583.34732671"
"2026-01-14","96921.99487487"
"2026-01-13","95357.93319407"
"2026-01-12","91186.96053114"
"2026-01-11","90891.15982431"
"2026-01-10","90441.18791667"
"2026-01-09","90516.36299678"
"2026-01-08","91021.32068036"
"2026-01-07","91273.49120774"
"2026-01-06","93651.92565977"
"2026-01-05","93830.61900974"
"2026-01-04","91481.2865704"
"2026-01-03","90585.39791567"
"2026-01-02","89946.61854327"
"2026-01-01","88731.2921042"
"2025-12-31","87510.60233577"
"2025-12-30","88382.25283312"
"2025-12-29","87117.06939497"
"2025-12-28","87884.95547183"
"2025-12-27","87813.94631895"
"2025-12-26","87327.83131109"
"2025-12-25","87188.84065186"
"2025-12-24","87622.86661303"
"2025-12-23","87422.72894359"
"2025-12-22","88559.29392426"
"2025-12-21","88634.74822237"
"2025-12-20","88332.98053729"
"2025-12-19","88088.73729817"
"2025-12-18","85471.01557527"
"2025-12-17","86289.58489898"
"2025-12-16","87847.18416349"
"2025-12-15","86417.32518438"
"2025-12-14","88171.39142627"
"2025-12-13","90248.60567661"
"2025-12-12","90279.57180059"
"2025-12-11","92536.96323514"
"2025-12-10","92026.71786816"
"2025-12-09","92690.25679276"
"2025-12-08","90649.47922258"
"2025-12-07","90420.69686333"
"2025-12-06","89250.33698397"
"2025-12-05","89339.39201238"
"2025-12-04","92084.02818799"
"2025-12-03","93453.33963331"
"2025-12-02","91301.14062261"
"2025-12-01","86418.04687598"
"2025-11-30","90365.75688404"
"2025-11-29","90827.15083114"
"2025-11-28","90894.78818067"
"2025-11-27","91313.26132071"
"2025-11-26","90479.7294824"
"2025-11-25","87325.27608074"
"2025-11-24","88438.38501079"
"2025-11-23","86882.60561129"
"2025-11-22","84749.98404484"
"2025-11-21","85070.01805867"
"2025-11-20","86534.20803826"
"2025-11-19","91454.77724728"
"2025-11-18","92914.01016089"
"2025-11-17","92108.39787759"
"2025-11-16","94266.32488777"
"2025-11-15","95538.21706483"
"2025-11-14","94731.32792727"
"2025-11-13","99620.57822662"
"2025-11-12","101634.7414947"
"2025-11-11","103008.74158727"
"2025-11-10","105970.12002404"
"2025-11-09","104697.59703366"
"2025-11-08","102295.76430344"
"2025-11-07","103290.49136842"
"2025-11-06","101338.46960849"
"2025-11-05","103870.51473051"
"2025-11-04","101475.30419781"
"2025-11-03","106560.81135863"
"2025-11-02","110537.14196887"
"2025-11-01","110068.3782596"
"2025-10-31","109725.62852691"
"2025-10-30","108308.85030016"
"2025-10-29","110186.65887252"
"2025-10-28","112940.23711997"
"2025-10-27","114097.65445793"
"2025-10-26","114546.49384567"
"2025-10-25","111661.87602284"
"2025-10-24","111080.75125689"
"2025-10-23","110133.60884749"
"2025-10-22","107597.16430603"
"2025-10-21","108344.1323928"
"2025-10-20","110563.20657647"
"2025-10-19","108690.12822593"
"2025-10-18","107349.373868"
"2025-10-17","106630.70377157"
"2025-10-16","108207.17623103"
"2025-10-15","110831.88245302"
"2025-10-14","113070.59136139"
"2025-10-13","115249.81694929"
"2025-10-12","115074.97531107"
"2025-10-11","110816.38199326"
"2025-10-10","112941.30361221"
"2025-10-09","121721.1670706"
"2025-10-08","123328.52983187"
"2025-10-07","121420.41398948"
"2025-10-06","124709.91539708"
"2025-10-05","123498.83422912"
"2025-10-04","122412.95030985"
"2025-10-03","122305.44288041"
"2025-10-02","120605.77164965"
"2025-10-01","118639.82783207"
"2025-09-30","114051.05349677"
"2025-09-29","114356.07904489"
"2025-09-28","112183.98177931"
"2025-09-27","109664.73047691"
"2025-09-26","109765.9423694"
"2025-09-25","109039.51853037"
"2025-09-24","113347.09634672"
"2025-09-23","112013.86504091"
"2025-09-22","112718.96724937"
"2025-09-21","115270.3407678"
"2025-09-20","115738.34809595"
"2025-09-19","115702.36232117"
"2025-09-18","117106.24151569"
"2025-09-17","116478.18353268"
"2025-09-16","116816.91584034"
"2025-09-15","115371.4550508"
"2025-09-14","115481.80567432"
"2025-09-13","115969.18965409"
"2025-09-12","116096.26803034"
"2025-09-11","115536.91905165"
"2025-09-10","113979.20891861"
"2025-09-09","111541.13223755"
"2025-09-08","112072.34181405"
"2025-09-07","111127.86652875"
"2025-09-06","110215.63854587"
"2025-09-05","110669.47909993"
"2025-09-04","110726.53021902"
"2025-09-03","111735.23520175"
"2025-09-02","111237.34422069"
"2025-09-01","109276.60452527"
"2025-08-31","108325.05767985"
"2025-08-30","108833.37871247"
"2025-08-29","108378.88836412"
"2025-08-28","112566.64340935"
"2025-08-27","111261.82181956"
"2025-08-26","111828.85429916"
"2025-08-25","110159.04207125"
"2025-08-24","113607.48107062"
"2025-08-23","115383.57260253"
"2025-08-22","116904.15614989"
"2025-08-21","112476.42383209"
"2025-08-20","114274.07867488"
"2025-08-19","112860.94085541"
"2025-08-18","116284.45634034"
"2025-08-17","117512.24091216"
"2025-08-16","117448.81508986"
"2025-08-15","117430.69453206"
"2025-08-14","118383.52038943"
"2025-08-13","123345.31129354"
"2025-08-12","120108.71251811"
"2025-08-11","118686.3219316"
"2025-08-10","119305.82174188"
"2025-08-09","116490.78924187"
"2025-08-08","116683.06618918"
"2025-08-07","117513.86635302"
"2025-08-06","115048.85927103"
"2025-08-05","114114.77289946"
"2025-08-04","115052.72050428"
"2025-08-03","114244.03291887"
"2025-08-02","112547.78657926"
"2025-08-01","113251.49334014"
