rank,symbol,name,price,percent_change_24h,percent_change_7d,percent_change_30d,market_cap,volume_24h,galaxy_score,galaxy_score_previous,alt_rank,alt_rank_previous,social_volume_24h,social_dominance,market_dominance,sentiment,signal
"1","ADCO","Advertise Coin","0.354767","-0.13541435382806974","0","","15964526","5087.5","100","100","5229","2393","1","0.0002801724741751022","0.0007287151723456007","","hold"
"2","SN77","Liquidity","1.99","-8.216879753445474","67.76315477507046","","9289264","863471","100","100","5767","","0","0","0.0004240168243469166","","sell"
"3","GVNR","GVNR","0.55681","0.0022500000000113918","-9.477383525049355","","8865937","14.8","100","100","4819","2295","1","0.0002801724741751022","0.00040469368203980736","","hold"
"4","NIL","Nillion","0.04087315","1.2144582326849294","2.5962088476099003","","19044297","16794347","89.7","68","82","77","345","0.09665950359041026","0.0008692940943286261","48","hold"
"5","TAO","Bittensor","257.95927623898393","0.551154621173","22.019258873732","-10.456199971114","2483669051","641430372.07","87","88","146","1","3358","0.9408191682799931","0.11336931146899693","80","hold"
"6","JELLYJELLY","jelly-my-jelly","0.07306377826752704","25.540227237987","23.668796938285","19.086506246662","71490917","10650744.36","86.8","46","109","1679","42","0.011767243915354293","0.0032632673154718173","80","hold"
"7","SPK","Spark","0.019028780633987167","-2.511741748846","-0.390494438751","-42.904175947932","53902273","15425971.31","83.3","32","2750","1101","31","0.008685346699428168","0.002460417813783799","80","hold"
"8","BLUAI","Bluwhale AI","0.0142215611552125","10.416","1.068319636067837","","17464077.1","695612.54","83.2","39","19","423","236","0.06612070390532411","0.0007971635333102504","55","hold"
"9","AIOT","OKZOO","0.07915299269666963","8.131759446816","41.51359271085","2.578975896191","21155456","5365976.01","82.3","86","34","155","76","0.021293108037307766","0.0009656598489106268","92","buy"
"10","EIGEN","Eigenlayer","0.193811","3.7940857999855493","14.7340126707027","","143594567","30329003","77.8","65","43","101","233","0.06528018648279882","0.0065545033807641335","41","hold"
"11","XCN","Onyxcoin","0.0039010918296514506","-0.855271292688","2.76723464526","-20.863194303793","150824176","9201631.19","77.3","62","1649","125","360","0.1008620907030368","0.006884505397011048","34","hold"
"12","SYN","Synapse","0.038392168394715286","20.469338139196","-5.280288257223","-25.465498116795","8696873","24820894.65","77.2","73","15","185","121","0.03390086937518737","0.00039697660344333437","79","buy"
"13","XION","XION","0.11646943443497873","-1.75809472791","0.987545581486","-18.158526044285","8245207","3403087.55","73.7","45","2394","1507","35","0.009806036596128576","0.0003763599019494943","67","hold"
"14","CAT","Simons Cat","0.000001480819568151716","-2.055083498109","-2.658390565222","-24.411617949861","10091012","2149036.79","73.1","46","2191","733","105","0.02941810978838573","0.0004606133341335361","98","hold"
"15","KNTQ","Kinetiq","0.21017582577041816","1.105600517748","-11.652125644103","32.231377546022","59106630","780408.16","72.6","56","103","1085","157","0.043987078445491046","0.0026979753778607427","93","hold"
"16","ANKR","Ankr Network","0.003870074782108598","-1.955786672795","-0.831310583673","-19.69181682321","38892052","5602787.97","72.4","27","3073","562","24","0.006724139380202452","0.0017752627529344788","60","hold"
"17","JASMY","JasmyCoin","0.005300503742982196","11.704347051506","10.550084480286","-13.836540684403","266667378","46709630.46","72.3","39","3","275","470","0.13168106286229803","0.012172272720043141","44","hold"
"18","MAX","MAX Exchange Token","0.27123545293499046","0.367329132892","-1.823474760461","-8.770602342943","18154102.55","10756.33","72.3","37","264","1913","112","0.031379317107611444","0.0008286603666468369","83","hold"
"19","UB","Unibase","0.12393241233476474","-7.229147953173","-6.639169604947","-45.212864167731","309939654","8552062.67","71.8","36","2835","669","145","0.04062500875538982","0.014147474743775408","47","sell"
"20","AKT","Akash Network","0.7285656672566515","7.033426514334","17.238966680931","-1.372931731476","213834809","20146376.03","71.8","70","11","81","350","0.09806036596128577","0.009760682509078165","63","buy"
"21","CAW2","A Hunters Dream","3.506924371889445e-8","1.677950634893","5.781529905683","1.830871671994","22561674","470963.96","71.6","59","372","946","24","0.006724139380202452","0.0010298479364382793","100","hold"
