agent,env,seed,ttd,discovered,wasted_steps,falsified_assists,hyp_steps
A_prior,deceptive,0,,0,9761,0,0
C_novel,deceptive,0,4403,1,347,0,0
B_hyp,deceptive,0,1412,1,0,0,343
A_prior,deceptive,1,,0,9671,0,0
C_novel,deceptive,1,1072,1,93,0,0
B_hyp,deceptive,1,396,1,0,0,97
A_prior,deceptive,2,,0,9886,0,0
C_novel,deceptive,2,1151,1,38,0,0
B_hyp,deceptive,2,2338,1,0,0,617
A_prior,deceptive,3,,0,9811,0,0
C_novel,deceptive,3,652,1,16,0,0
B_hyp,deceptive,3,1871,1,0,0,485
A_prior,deceptive,4,,0,9923,0,0
C_novel,deceptive,4,1597,1,105,0,0
B_hyp,deceptive,4,1444,1,0,0,355
A_prior,deceptive,5,,0,9814,0,0
C_novel,deceptive,5,1549,1,82,0,0
B_hyp,deceptive,5,237,1,0,0,60
A_prior,deceptive,6,,0,9847,0,0
C_novel,deceptive,6,1422,1,72,0,0
B_hyp,deceptive,6,1922,1,0,0,449
A_prior,deceptive,7,,0,9674,0,0
C_novel,deceptive,7,3072,1,193,0,0
B_hyp,deceptive,7,5592,1,0,0,1404
A_prior,deceptive,8,,0,9584,0,0
C_novel,deceptive,8,4452,1,341,0,0
B_hyp,deceptive,8,1362,1,0,0,319
A_prior,deceptive,9,,0,9929,0,0
C_novel,deceptive,9,387,1,19,0,0
B_hyp,deceptive,9,2573,1,0,0,622
A_prior,deceptive,10,,0,9515,0,0
C_novel,deceptive,10,1241,1,41,0,0
B_hyp,deceptive,10,2584,1,0,0,657
A_prior,deceptive,11,,0,9866,0,0
C_novel,deceptive,11,1772,1,52,0,0
B_hyp,deceptive,11,704,1,0,0,192
A_prior,deceptive,12,,0,9318,0,0
C_novel,deceptive,12,1175,1,72,0,0
B_hyp,deceptive,12,197,1,0,0,60
A_prior,deceptive,13,,0,7474,0,0
C_novel,deceptive,13,1275,1,83,0,0
B_hyp,deceptive,13,1450,1,0,0,351
A_prior,deceptive,14,,0,9476,0,0
C_novel,deceptive,14,2509,1,169,0,0
B_hyp,deceptive,14,420,1,0,0,107
A_prior,deceptive,15,,0,9847,0,0
C_novel,deceptive,15,3034,1,216,0,0
B_hyp,deceptive,15,843,1,0,0,210
A_prior,deceptive,16,,0,9795,0,0
C_novel,deceptive,16,2614,1,79,0,0
B_hyp,deceptive,16,329,1,0,0,87
A_prior,deceptive,17,,0,9655,0,0
C_novel,deceptive,17,3175,1,274,0,0
B_hyp,deceptive,17,7236,1,0,0,1808
A_prior,deceptive,18,,0,8834,0,0
C_novel,deceptive,18,2973,1,259,0,0
B_hyp,deceptive,18,8077,1,0,0,2040
A_prior,deceptive,19,,0,9555,0,0
C_novel,deceptive,19,717,1,72,0,0
B_hyp,deceptive,19,2582,1,0,0,665
A_prior,deceptive,20,,0,9694,0,0
C_novel,deceptive,20,1744,1,194,0,0
B_hyp,deceptive,20,250,1,0,0,73
A_prior,deceptive,21,,0,9842,0,0
C_novel,deceptive,21,2651,1,122,0,0
B_hyp,deceptive,21,1439,1,0,0,337
A_prior,deceptive,22,,0,9433,0,0
C_novel,deceptive,22,1780,1,230,0,0
B_hyp,deceptive,22,2316,1,0,0,592
A_prior,deceptive,23,,0,9165,0,0
C_novel,deceptive,23,4751,1,317,0,0
B_hyp,deceptive,23,3270,1,0,0,791
A_prior,deceptive,24,,0,9785,0,0
C_novel,deceptive,24,3559,1,219,0,0
B_hyp,deceptive,24,2561,1,0,0,666
A_prior,deceptive,25,,0,9602,0,0
C_novel,deceptive,25,3117,1,178,0,0
B_hyp,deceptive,25,1030,1,0,0,241
A_prior,deceptive,26,,0,9622,0,0
C_novel,deceptive,26,1522,1,126,0,0
B_hyp,deceptive,26,2628,1,0,0,665
A_prior,deceptive,27,,0,9620,0,0
C_novel,deceptive,27,1711,1,106,0,0
B_hyp,deceptive,27,5259,1,0,0,1261
A_prior,deceptive,28,,0,9874,0,0
C_novel,deceptive,28,1975,1,105,0,0
