sandbox: C:\Users\Armin\AppData\Local\Temp\octopus-F-274-a5tpziqx
REAL_VAULT(candidate): F:\c72base
running 274 files

[1/274] PASS   python test_client.py
[2/274] PASS   python test_telemetry.py
[3/274] PASS   python test_organ_gate.py
[4/274] PASS   python test_epoch.py
[5/274] PASS   python test_debate.py
[6/274] PASS   python test_fitness_sigma.py
[7/274] PASS   python test_budget_gate_v2.py
[8/274] PASS   python test_money_gate.py
[9/274] PASS   python test_capability_gate.py
[10/274] PASS   python test_attribution.py
[11/274] PASS   python test_panel_lead.py
[12/274] PASS   python test_chrono_heartbeat.py
[13/274] PASS   python test_chrono_langar.py
[14/274] PASS   python test_telegram_channel.py
[15/274] PASS   python test_telegram_group_allowlist.py
[16/274] PASS   python test_leg.py
[17/274] PASS   python test_doctor.py
[18/274] PASS   python test_chord.py
[19/274] PASS   python test_chord_shadow.py
[20/274] PASS   python test_phase5.py
[21/274] PASS   python test_spectral.py
[22/274] PASS   python test_chamber.py
[23/274] PASS   python test_calibration.py
[24/274] PASS   python test_box.py
[25/274] PASS   python test_evolution.py
[26/274] PASS   python test_box_b134.py
[27/274] PASS   python test_sensory.py
[28/274] PASS   python test_rhythm.py
[29/274] PASS   python test_cockpit.py
[30/274] PASS   python test_project_f.py
[31/274] PASS   python test_studio_telegram.py
[32/274] PASS   python test_live_loop.py
[33/274] PASS   python test_proposal_buttons.py
[34/274] PASS   python test_dual_brain.py
[35/274] PASS   python test_acquisition.py
[36/274] PASS   python test_neural.py
[37/274] PASS   python test_deep_pf.py
[38/274] PASS   python test_pf_full.py
[39/274] PASS   python test_frontier.py
[40/274] PASS   python test_organism_protective.py
[41/274] PASS   python test_canonical_consolidation.py
[42/274] PASS   python test_sprint_beat.py
[43/274] PASS   python test_approval_queue_consistency.py
[44/274] PASS   python test_consolidation_wiring.py
[45/274] PASS   python test_spinal_cord_w1.py
[46/274] PASS   python test_afferent_path_w2.py
[47/274] PASS   python test_doctor_evolution_wiring.py
[48/274] PASS   python test_box_wiring.py
[49/274] PASS   python test_lead_leg_loop.py
[50/274] PASS   python test_human_append_guard.py
[51/274] PASS   python test_idea_graph.py
[52/274] PASS   python test_connection_selftest.py
[53/274] PASS   python test_germline_wiring.py
[54/274] PASS   python test_checkpoint_wiring.py
[55/274] PASS   python test_spectral_wiring.py
[56/274] PASS   python test_profile_w3.py
[57/274] PASS   python test_llm_routing_smoke.py
[58/274] PASS   python test_barbell_attribution.py
[59/274] PASS   python test_relationships_wired.py
[60/274] PASS   python test_phase0_safety_net.py
[61/274] PASS   python test_phase1_wiring.py
[62/274] PASS   python test_phase2_scheduler.py
[63/274] PASS   python test_phase4_epistemics.py
[64/274] PASS   python test_phase3_trackb.py
[65/274] PASS   python test_phase5_epistemics_wiring.py
[66/274] PASS   python test_dashboard.py
[67/274] PASS   python test_cardiac_allometry.py
[68/274] PASS   python test_baseline.py
[69/274] PASS   python test_held_out_evaluator.py
[70/274] PASS   python test_phase_gate.py
[71/274] PASS   python test_rfc_sweep.py
[72/274] PASS   python test_consolidation_distinguish.py
[73/274] PASS   python test_gate_sweep.py
[74/274] PASS   python test_latent_space.py
[75/274] PASS   python test_encoders.py
[76/274] PASS   python test_consolidation_latent.py
[77/274] PASS   python test_bcm_forgetting.py
[78/274] PASS   python test_sparse_filter.py
[79/274] PASS   python test_chamber_temperature.py
[80/274] PASS   python test_fisher.py
[81/274] PASS   python test_telegram_rfc_router.py
[82/274] PASS   python test_cockpit_v2.py
[83/274] PASS   python test_heart_math.py
[84/274] PASS   python test_heart_producers.py
[85/274] PASS   python test_heart_cognition.py
[86/274] PASS   python test_heart_fuel.py
[87/274] PASS   python test_heart_fuel_wiring.py
