path,type,size,public_exposure,current_role,canonical,links_consumers,secret,pii,local_paths,runtime_dependency,recommended,rollback,proposed_pr_scope
CHANGELOG.md.bak-scan-20260806-231123,file,1497,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
CHANGELOG.md.bak-vault-20260806-220558,file,239,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
DECISIONS.md.bak-vault-20260806-220558,file,29707,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
HANDOFF.md.bak-scan-20260806-231123,file,28879,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
HANDOFF.md.bak-vault-20260806-220558,file,17464,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
INDEX.md.bak-scan-20260806-231123,file,9955,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
INDEX.md.bak-vault-20260806-220558,file,5178,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
MEGAPROMPT-UNIFY.md.bak-supplement-20260806-224444,file,26209,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
README.md.bak-scan-20260806-231123,file,16236,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
README.md.bak-vault-20260806-220558,file,14514,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
CHANGELOG.md.bak-scan-20260806-231123,file,1497,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
CHANGELOG.md.bak-vault-20260806-220558,file,239,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
DECISIONS.md.bak-vault-20260806-220558,file,29707,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
HANDOFF.md.bak-scan-20260806-231123,file,28879,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
HANDOFF.md.bak-vault-20260806-220558,file,17464,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
INDEX.md.bak-scan-20260806-231123,file,9955,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
INDEX.md.bak-vault-20260806-220558,file,5178,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
MEGAPROMPT-UNIFY.md.bak-supplement-20260806-224444,file,26209,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
README.md.bak-scan-20260806-231123,file,16236,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
README.md.bak-vault-20260806-220558,file,14514,tracked in public repo,backup artifact,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,ARCHIVE,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
saba_rag_seed.txt,file,113026,tracked in public repo,RAG corpus seed,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,OWNER_DECISION,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
CLAUDE.md,file,16855,tracked in public repo,agent entrypoint (MIXED classification),canonical,see ROOT-INVENTORY,False,False,False,CLAUDE.md: agent tooling,KEEP_ROOT (Phase-2 split decision),git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
.obsidian,dir,814,tracked in public repo,editor-local settings,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,UNTRACK,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
.tmp-test,dir,8659713,tracked in public repo,stale test artifacts,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,UNTRACK,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
.tmp-test-run,dir,20214607,tracked in public repo,stale test artifacts,non-canonical,see ROOT-INVENTORY,False,False,False,none observed,UNTRACK,git checkout origin/main -- path,"phase-2 PR (separate, post-W-B)"
