path,size_bytes,role,canonical_status,referenced_by,contains_secrets,contains_pii,contains_local_paths,contains_stale_instructions,recommended_action
.gitignore,392,data/other,root-public,,False,False,False,False,MOVE
AGENT-NEXT-DEEPSEEK-V4-FAST.md,20759,doc,root-public,,False,False,False,True,MOVE
AGENT-NEXT-OWNER-COMPLETE.md,9521,doc,root-public,,False,False,False,True,MOVE
AGENT-NEXT-PANEL-UPGRADE.md,18238,doc,root-public,,False,False,False,True,MOVE
ARI-STUDIO-STEPS.md,10335,doc,root-public,,False,False,False,False,MOVE
CHANGELOG.md,10491,doc,root-public,,False,False,False,False,KEEP_ROOT
CHANGELOG.md.bak-scan-20260806-231123,1497,data/other,root-public,,False,False,False,False,ARCHIVE
CHANGELOG.md.bak-vault-20260806-220558,239,data/other,root-public,,False,False,False,False,ARCHIVE
CHECKPOINT.md,8260,doc,root-public,,False,False,False,False,KEEP_ROOT
CLAUDE.md,16855,doc,root-public,,False,False,False,False,KEEP_ROOT
DECISIONS.md,35175,doc,root-public,,False,False,False,False,KEEP_ROOT
DECISIONS.md.bak-vault-20260806-220558,29707,data/other,root-public,,False,False,False,False,ARCHIVE
DESIGN-DIRECTIVE.md,10086,doc,root-public,,False,False,False,False,MOVE
HANDOFF.md,91821,doc,root-public,,False,False,False,False,KEEP_ROOT
HANDOFF.md.bak-scan-20260806-231123,28879,data/other,root-public,,False,False,False,False,ARCHIVE
HANDOFF.md.bak-vault-20260806-220558,17464,data/other,root-public,,False,False,False,False,ARCHIVE
INDEX.md,20148,doc,root-public,,False,False,False,False,KEEP_ROOT
INDEX.md.bak-scan-20260806-231123,9955,data/other,root-public,,False,False,False,False,ARCHIVE
INDEX.md.bak-vault-20260806-220558,5178,data/other,root-public,,False,False,False,False,ARCHIVE
LESSONS-STUDIO.md,18174,doc,root-public,,False,False,False,False,MOVE
LESSONS-ZIMAN.md,49991,doc,root-public,,False,False,False,False,MOVE
MARKETING-PLAN-v0.1.md,23637,doc,root-public,,False,False,False,False,MOVE
MEGAPROMPT-BOARD-CHARTER-2026-08-16.md,9034,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-BUSINESS-OPERATIONS-LAUNCH.md,39152,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-COMPLETE-FINISH.md,23789,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-EDGE-DEEP.md,17796,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-FUGU-FINALIZE.md,18462,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-MARKETING-PLATFORM-INTEGRATION.md,38216,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-MINING.md,14428,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-OWNER-COMPLETE.md,29141,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-P1-TO-P4-COMPLETE.md,16753,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-REVENUE-COMMANDER.md,4867,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-STUDIO.md,26637,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-UNIFY-FINAL.md,17036,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-UNIFY.md,26239,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT-UNIFY.md.bak-supplement-20260806-224444,26209,data/other,root-public,,False,False,False,True,MOVE
MEGAPROMPT-ZIMAN.md,11689,doc,root-public,,False,False,False,True,MOVE
MEGAPROMPT.md,18533,doc,root-public,,False,False,False,True,MOVE
OFN-BOOT-REPORT.md,3077,doc,root-public,,False,False,True,False,MOVE
QUESTIONS-FOR-OCTOPUS.md,5018,doc,root-public,,False,False,False,False,MOVE
README.md,16269,doc,root-public,README,False,False,False,False,KEEP_ROOT
README.md.bak-scan-20260806-231123,16236,data/other,root-public,,False,False,False,False,ARCHIVE
README.md.bak-vault-20260806-220558,14514,data/other,root-public,,False,False,False,False,ARCHIVE
STUDIO-ANSWERS.md,11355,doc,root-public,,False,False,False,False,MOVE
STUDIO-BRIEF.md,11046,doc,root-public,,False,False,False,False,MOVE
UNIFY-ANSWERS.md,2288,doc,root-public,,False,False,False,False,MOVE
ZIMAN-2026-08-04.md,7171,doc,root-public,,False,False,False,False,MOVE
pytest.ini,316,data/other,root-public,,False,False,False,False,KEEP_ROOT
saba_rag_seed.txt,113026,doc,root-public,,False,False,False,False,MOVE
